# Starbucks Decaf Options — Available Drinks (Caffeine Not Reported)

| Menu Area | Beverage | Decaf Available | Sizes Listed |
| --- | --- | --- | --- |
| Brewed Coffee | Decaf Pike Place Roast | Yes | Short, Tall, Grande, Venti |
| Espresso Drinks | Decaf Americano | Yes | Short, Tall, Grande, Venti |
| Espresso Drinks | Decaf Latte | Yes | Short, Tall, Grande, Venti |
| Espresso Drinks | Decaf Cappuccino | Yes | Short, Tall, Grande, Venti |
| Espresso Drinks | Decaf Mocha | Yes | Short, Tall, Grande, Venti |
| Espresso Drinks | Decaf Caramel Macchiato | Yes | Tall, Grande, Venti |
| Espresso Drinks | Decaf Flat White | Yes | Tall, Grande, Venti |
| Espresso Drinks | Decaf Espresso (Shots) | Yes | Solo, Doppio, Triple |
| Iced Espresso Drinks | Decaf Iced Latte | Yes | Tall, Grande, Venti |
