# Bridging Inorganic Ligands with Examples of Complexes and Net Complex Charges

| Bridging ligand | Ligand formula | Ligand charge | Example complex containing the ligand | Charge shown (complex) |
| --- | --- | --- | --- | --- |
| Hydroxide (μ-OH) | OH− | −1 | [Fe2(OH)2(H2O)8]4+ | +4 |
| Oxide (μ-O) | O2− | −2 | [Mn4O6(bpy)6]4+ | +4 |
| Sulfide (μ-S) | S2− | −2 | [Fe2S2(SR)4]2− | −2 |
| Chloride (μ-Cl) | Cl− | −1 | [Al2Cl7]− | −1 |
| Fluoride (μ-F) | F− | −1 | [Zr2F9]− | −1 |
| Azide (μ-1,3-N3) | N3− | −1 | [Cu2(N3)4]2− | −2 |
| Carbonate (μ-CO3) | CO3^2− | −2 | [Co3(μ-CO3)(NH3)9]5+ | +5 |
| Cyanide (μ-CN) | CN− | −1 | [Fe2(CN)10]6− | −6 |
| Hydride (μ-H) | H− | −1 | [Re2H9]2− | −2 |
| Peroxide (μ-η2:η2-O2) | O2^2− | −2 | [Ti2(O2)2F8]4− | −4 |
