# List of local government areas in Scotland 1930–75
> County of Ayr

| Burgh | Notes | 1975 district |
| --- | --- | --- |
| Ardrossan |  | Cunninghame |
| Cumnock and Holmhead |  | Cumnock and Doon Valley |
| Darvel |  | Kilmarnock and Loudoun |
| Galston |  | Kilmarnock and Loudoun |
| Girvan |  | Kyle and Carrick |
| Irvine | Royal burgh | Cunninghame |
| Kilwinning |  | Cunninghame |
| Largs |  | Cunninghame |
| Maybole |  | Kyle and Carrick |
| Newmilns and Greenholm |  | Kilmarnock and Loudoun |
| Prestwick |  | Kyle and Carrick |
| Saltcoats |  | Cunninghame |
| Stewarton |  | Kilmarnock and Loudoun |
| Troon |  | Kyle and Carrick |
| Stevenston | Burgh created 1952 | Cunninghame |
