# VSEPR Shapes Extended to Transition-Metal Coordination (Special Cases Included)

| Coordination context | Bonding groups (X) | Lone pairs (E) | Reported shape name | Typical complex example | Caveat |
|---|---:|---:|---|---|---|
| Main-group (AX4E0) | 4 | 0 | Tetrahedral | CH4 | classic VSEPR |
| Main-group (AX3E1) | 3 | 1 | Trigonal pyramidal | NH3 | classic VSEPR |
| d8 transition metal | 4 | 0 | Square planar | [PtCl4]2− | ligand field dominates |
| Cu(II) | 4 | 0 | Square planar (distorted) | [Cu(NH3)4]2+ | Jahn–Teller effects |
| High-spin octahedral | 6 | 0 | Octahedral | [Fe(H2O)6]2+ | not purely VSEPR |
| Five-coordinate TM | 5 | 0 | Square pyramidal | [CuCl5]3− | TBP vs SP depends on metal |
| Five-coordinate TM | 5 | 0 | Trigonal bipyramidal | [Fe(CO)5] | special case; 18e− rule |
| Four-coordinate TM | 4 | 0 | Tetrahedral | [ZnCl4]2− | depends on metal/ligand |
| Mixed ligands | 6 | 0 | Octahedral | [Co(NH3)4Cl2]+ | cis/trans isomerism common |
