# Riverside Secondary School (England) Term Dates and Half-Term Holidays 2024–2025

| Period Type | Name | Start Date | End Date | Notes |
| --- | --- | --- | --- | --- |
| Term | Autumn Term (Part 1) | Monday, 2 September 2024 | Friday, 25 October 2024 | Teaching days |
| Half-Term Holiday | Autumn Half-Term | Saturday, 26 October 2024 | Sunday, 3 November 2024 | School closed |
| Term | Autumn Term (Part 2) | Monday, 4 November 2024 | Friday, 20 December 2024 | Teaching days |
| Holiday | Christmas Holiday | Saturday, 21 December 2024 | Sunday, 5 January 2025 | School closed |
| Term | Spring Term (Part 1) | Monday, 6 January 2025 | Friday, 14 February 2025 | Teaching days |
| Half-Term Holiday | Spring Half-Term | Saturday, 15 February 2025 | Sunday, 23 February 2025 | School closed |
| Term | Spring Term (Part 2) | Monday, 24 February 2025 | Friday, 4 April 2025 | Teaching days |
| Holiday | Easter Holiday | Saturday, 5 April 2025 | Monday, 21 April 2025 | School closed |
| Term | Summer Term (Part 1) | Tuesday, 22 April 2025 | Friday, 23 May 2025 | Teaching days |
| Half-Term Holiday | Summer Half-Term | Saturday, 24 May 2025 | Sunday, 1 June 2025 | School closed |
| Term | Summer Term (Part 2) | Monday, 2 June 2025 | Friday, 18 July 2025 | Teaching days |
