# Chief of the General Staff ( United Kingdom )
> Chiefs of the Imperial General Staff , 1909–1964

| Rank | Name | Image | In office | Notes | Reference |
| --- | --- | --- | --- | --- | --- |
| Sir William Nicholson | Field Marshal |  | 22 November 1909 – 15 March 1912 |  | [4] |
| Sir John French | Field Marshal |  | 15 March 1912 – 6 April 1914 |  | [5] |
| Sir Charles Douglas | General |  | 6 April – 25 October 1914 |  | [6] |
| Sir James Wolfe-Murray | Lieutenant General |  | October 1914 – 26 September 1915 |  | [7] |
| Sir Archibald Murray | General |  | 26 September – December 1915 |  | [8] |
| Sir William Robertson | General |  | 23 December 1915 – February 1918 |  | [9] |
| Sir Henry Wilson | Field Marshal |  | 19 February 1918 – 19 February 1922 |  | [10] |
| Frederick Rudolph Lambart, 10th Earl of Cavan | Field Marshal |  | 19 February 1922 – 19 February 1926 |  | [11] |
| Sir George Milne | Field Marshal |  | 19 February 1926 – 19 February 1933 |  | [12] |
| Sir Archibald Montgomery-Massingberd | Field Marshal |  | February 1933 – February 1936 |  | [13] |
| Sir Cyril Deverell | Field Marshal |  | February 1936 – 6 December 1937 |  | [14] |
| John Vereker, 6th Viscount Gort | General |  | 6 December 1937 – 3 September 1939 |  | [15] |
| Sir Edmund Ironside | General |  | 4 September 1939 – 26 May 1940 |  | [16] |
| Sir John Dill | Field Marshal |  | 26 May 1940 – 25 December 1941 |  | [17] |
| Sir Alan Brooke | Field Marshal |  | 25 December 1941 – 25 June 1946 |  | [18] |
| Sir Bernard Montgomery | Field Marshal |  | 26 June 1946 – 1 November 1948 |  | [18] [19] |
| Sir William Slim | Field Marshal |  | 1 November 1948 – 1 November 1952 |  | [20] |
| Sir John Harding | Field Marshal |  | 1 November 1952 – 29 September 1955 |  | [21] |
| Sir Gerald Templer | Field Marshal |  | 29 September 1955 – 29 September 1958 |  | [22] |
| Sir Francis Festing | Field Marshal |  | 29 September 1958 – 1 November 1961 |  | [23] |
| Sir Richard Hull | Field Marshal |  | 1 November 1961 – April 1964 | Last CIGS and first CGS; first Army officer to be Chief of the Defence Staff , 1965–1967 | [24] [25] [26] |
