# Monthly Weather Summary — Humidity, Cloud Cover, and Rain Dominant (Temperature Secondary)

| Month | Relative Humidity (%) | Cloud Cover (oktas) | Sunshine (hours) | Precipitation (mm) | Wet Days | Avg High (°C) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: |
| Jan | 79 | 6.5 | 98 | 112 | 12 | 6.0 |
| Feb | 77 | 6.2 | 110 | 95 | 10 | 7.2 |
| Mar | 74 | 5.8 | 142 | 88 | 10 | 10.1 |
| Apr | 70 | 5.2 | 176 | 72 | 9 | 14.1 |
| May | 68 | 4.8 | 211 | 69 | 9 | 18.0 |
| Jun | 66 | 4.4 | 236 | 63 | 8 | 21.5 |
| Jul | 65 | 4.3 | 252 | 58 | 7 | 24.0 |
| Aug | 66 | 4.5 | 241 | 61 | 7 | 23.7 |
| Sep | 69 | 5.0 | 198 | 73 | 8 | 20.0 |
| Oct | 73 | 5.6 | 152 | 92 | 10 | 15.0 |
| Nov | 77 | 6.2 | 111 | 105 | 11 | 10.0 |
| Dec | 80 | 6.6 | 90 | 118 | 12 | 7.0 |
