# Ionic Compound Naming Practice (Focus on Full Compounds, Not Individual Ions)

| Chemical Formula | Compound Type | Compound Name |
|---|---|---|
| NaCl | ionic | sodium chloride |
| CaCl2 | ionic | calcium chloride |
| K2SO4 | ionic | potassium sulfate |
| Mg(NO3)2 | ionic | magnesium nitrate |
| Al2O3 | ionic | aluminum oxide |
| (NH4)2CO3 | ionic | ammonium carbonate |
| FeCl3 | ionic | iron(III) chloride |
| CuSO4 | ionic | copper(II) sulfate |
| AgNO3 | ionic | silver nitrate |
| NaHCO3 | ionic | sodium hydrogen carbonate |
