# Western Zodiac Sign Date Ranges and Keywords (Quick Reference)

| Zodiac Sign | Date Range | Element | Modality | Key Traits |
| --- | --- | --- | --- | --- |
| Aries | Mar 21–Apr 19 | Fire | Cardinal | Bold, initiating |
| Taurus | Apr 20–May 20 | Earth | Fixed | Steady, sensual |
| Gemini | May 21–Jun 20 | Air | Mutable | Curious, social |
| Cancer | Jun 21–Jul 22 | Water | Cardinal | Protective, intuitive |
| Leo | Jul 23–Aug 22 | Fire | Fixed | Expressive, proud |
| Virgo | Aug 23–Sep 22 | Earth | Mutable | Analytical, helpful |
| Libra | Sep 23–Oct 22 | Air | Cardinal | Diplomatic, aesthetic |
| Scorpio | Oct 23–Nov 21 | Water | Fixed | Intense, private |
| Sagittarius | Nov 22–Dec 21 | Fire | Mutable | Adventurous, frank |
| Capricorn | Dec 22–Jan 19 | Earth | Cardinal | Ambitious, disciplined |
| Aquarius | Jan 20–Feb 18 | Air | Fixed | Independent, visionary |
| Pisces | Feb 19–Mar 20 | Water | Mutable | Empathic, dreamy |
