# List of LGBT characters in film
> S

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Sakti | Arisan! | Gay | Film |
| Lisbeth Salander | The Girl with the Dragon Tattoo#Film adaptations | Bisexual | Film/Series |
| Sam | Breakfast with Scot | Gay | Film |
| Felice Schragenheim | Aimée & Jaguar | Lesbian | Film |
| Rory Schultebrand | Stir Crazy | Gay | Film |
| Angel Dumott Schunard | Rent | Gay/Transgender | Film |
| Scot | Breakfast with Scot | Gay | Film |
| Scott | Shank | Gay | Film |
| Scotty J. | Boogie Nights | Gay | Film |
| Alec Scudder | Maurice | Gay | Film |
| Sebastian | Kissing Jessica Stein | Gay | Film |
| Brandon Shaw | Rope | Gay | Film |
| Shawn | The Architect | Gay | Film |
| Shel | Wedding Wars | Gay | Film |
| Matthew Shepard | The Laramie Project | Gay | Film |
| Leon Shermer | Dog Day Afternoon | Transgender | Film |
| Perry Van Shrike/"Gay Perry" | Kiss Kiss Bang Bang | Gay | Film |
| Mark Shubb | A Mighty Wind | Transgender | Film |
| Sid | Girltrash: All Night Long | Lesbian | Film |
| Diane Siegler | Citizen Ruth | Lesbian | Film |
| Raoul Silva | Skyfall | Bisexual | Film |
| Rufus Sixsmith | Cloud Atlas | Gay | Film |
| Brian Slade | Velvet Goldmine | Bisexual | Film |
| Mandy Slade | Velvet Goldmine | Bisexual | Film |
| Paul Smecker | The Boondock Saints | Gay | Film |
| Smith | Kaboom | Bisexual | Film |
| "Quiz Kid" Donnie Smith | Magnolia | Gay | Film |
| Corky St. Clair | Waiting for Guffman | Gay | Film |
| James St. James | Party Monster | Gay | Film |
| Sterling | Jeffrey | Gay | Film |
| Stephen Stills | Scott Pilgrim vs. The World | Gay | Film |
| Lytton Strachey | Carrington | Gay | Film |
| Arthur Stuart | Velvet Goldmine | Gay/Bisexual | Film |
| Chloe Sweeney | Chloe | Bisexual | Film |
| Syd | High Art | Bisexual | Film |
