# Top Global Banks by Total Assets — Worldwide Ranking (US$ trillions)

| Rank | Bank | Country/Region | Total Assets (US$ tn) | Notes |
|---:|---|---|---:|---|
| 1 | ICBC | China | 5.74 | Commercial banking group |
| 2 | China Construction Bank | China | 5.16 | Universal bank |
| 3 | Agricultural Bank of China | China | 5.07 | State-owned commercial bank |
| 4 | Bank of China | China | 4.85 | Internationally active |
| 5 | JPMorgan Chase | United States | 3.95 | Largest U.S. bank by assets |
| 6 | Bank of America | United States | 3.18 | Major U.S. retail & investment bank |
| 7 | Mitsubishi UFJ FG | Japan | 3.34 | Japan-based financial group |
| 8 | BNP Paribas | France | 3.10 | Eurozone leader |
| 9 | HSBC | United Kingdom | 3.03 | Global network bank |
| 10 | Crédit Agricole Group | France | 2.98 | Cooperative banking group |
| 11 | Sumitomo Mitsui FG (SMFG) | Japan | 2.40 | Japanese megabank group |
| 12 | Santander Group | Spain | 1.90 | Pan-European & LatAm presence |
| 13 | UBS Group | Switzerland | 1.70 | Wealth & investment focus |
