# Toddler BMI Reference by Age (Months)  Example Height Weight Pairs and BMI Ranges

| Age (months) | Example height (cm) | Example weight (kg) | BMI (kg/m²) | BMI category focus |
| --- | --- | --- | --- | --- |
| 12 | 75–80 | 9.0–11.0 | 15–18 | Screening emphasis |
| 15 | 78–83 | 9.5–11.8 | 15–18 | BMI-for-age approach |
| 18 | 80–86 | 10.0–12.5 | 15–18 | Not a pure growth chart |
| 21 | 82–89 | 10.5–13.2 | 15–18.5 | Risk stratification |
| 24 | 84–92 | 11.0–14.0 | 15–19 | Focus on BMI bands |
| 30 | 88–97 | 12.0–15.5 | 14.5–19.5 | Public health metric |
| 36 | 92–102 | 13.0–17.0 | 14–19.5 | BMI interpretation |
| 42 | 96–107 | 14.0–18.5 | 14–20 | BMI tracking |
| 48 | 100–112 | 15.0–20.0 | 14–20.5 | BMI-centric table |
