# United States DST Rule by State Territory (Current Practice Summary)

| Country | State/Territory | Region | DST Observed? | DST Start | DST End | Exceptions/Notes |
| --- | --- | --- | --- | --- | --- | --- |
| United States | California | North America | Yes | Second Sunday in March | First Sunday in November | Statewide |
| United States | Arizona | North America | No (most) | — | — | Navajo Nation observes DST |
| United States | Hawaii | North America | No | — | — |  |
| United States | New York | North America | Yes | Second Sunday in March | First Sunday in November |  |
| United States | Florida | North America | Yes | Second Sunday in March | First Sunday in November |  |
| United States | Alaska | North America | Yes | Second Sunday in March | First Sunday in November |  |
| United States | Indiana | North America | Yes | Second Sunday in March | First Sunday in November |  |
| United States | Puerto Rico | North America | No | — | — | U.S. territory |
| United States | Guam | Oceania | No | — | — | U.S. territory |
