# XM Satellite Radio
> Company

| Year | Event(s) |
| --- | --- |
| 1988 | American Mobile Satellite Corp. is founded. |
| 1991 | American Mobile Radio/ XM founder Lon Levin joins American Mobile Satellite Corp. Martine Rothblatt, founder and Chairman of CD Radio, amends her 1990 filing with the FCC to create a single satellite radio service frequency band to enable two satellite radio systems to operate within that frequency band. |
| 1992 | December 15: after CD Radio (later becoming Sirius Satellite Radio ) successfully petitioned the Federal Communications Commission and Congress to look into creating Digital Audio Radio Service (DARS) in the United States, American Mobile Satellite Corp. spins off a new division known as American Mobile Radio Corp. who would go on and join three other applicants as potential licensees. Later that year, American Mobile brings in WorldSpace as a 20% investor into the new venture with the intention of using their technology. |
| 1996 | Gary Parsons leaves MCI Communications to join American Mobile as its CEO and President. |
| 1997 | May 16: American Mobile Satellite and WorldSpace officially change the name of American Mobile Radio to XM Satellite Radio. Later that month, Lon Levin, who was politically instrumental in the early years of establishing American Mobile Radio, becomes its President until 1998; he would remain on until 2005 in an influential VP role in charge of Government Regulatory. October: XM Satellite Radio obtains one of only two satellite digital audio radio service licenses offered by the Federal Communications Commission . Together with CD Radio (SIRIUS), the two beat out Primosphere Limited Partnership and Digital Satellite Broadcasting Corporation as licensees. |
| 1998 | Hugh Panero leaves Request TV as its President and CEO, to join XM Satellite Radio in the same role. |
| 1999 | June: Clear Channel Communications , DirecTV , General Motors , and a private investment group invest US$250 million in XM Satellite Radio convertible debt . Both Clear Channel and DirecTV agree to develop services for XM. June 7: with GM's investment in XM, they enter into a 12-year "Distribution Agreement" between XM and GM subsidiary, OnStar Corporation. The agreement calls for exclusive installation of XM Satellite Radio into GM vehicles from November 12, 2001 until November 2013. OnStar must meet specific escalating installation rates each year, while XM must make extensive payments to OnStar for the installation and sale of XM in their vehicles, while sharing revenue earned from these radios with OnStar – as well as payments on the exclusivity agreement. July 7 , American Mobile Satellite, still XM's parent company, uses approximately US$75 million of the proceeds from the private investment to reacquire the 20% interest WorldSpace holds. In October, XM Satellite Radio issues 10,241,000 shares of Class A common stock at an IPO price of US$12.00 per share. American Mobile Satellite remains the majority holder of the public company. |
| 2000 | April: American Mobile Satellite Corp. changes its name to Motient. In July, American Honda join several private investors in a US$235 million preferred stock investment in the company. |
| 2001 | September 25 (Originally set for September 12 and delayed because of "9/11"): XM Satellite Radio service launches, first in San Diego and Dallas/Fort Worth , and spreads across the United States. The initial lineup includes 71 music channels and 29 other channels consisting of sports, talk, children's programming, entertainment and news. The original launch date of September 12 is pushed back after the World Trade Center and Pentagon terrorist attacks . October: with Motient heading into bankruptcy, they spin off their non-XM satellite division into a joint operation with TMI Communications and Company, L.P., a wholly owned subsidiary of BCE Inc. of Canada; the new venture is known as the Mobile Satellite Ventures . November: with Motient in bankruptcy, they sell off their controlling interest in XM to Hughes Electronics , SingTel and Baron Capital Partners. This ends Motient's interest in XM and begins XM's history as a stand-alone company. Hughes Electronics would go on to combine this new interest in with the interest already held by their subsidiary, DirecTV. November 12: XM Satellite Radio marks the official launch of full nationwide service. December 31: XM Satellite Radio ends the year with 27,733 subscribers. |
| 2002 | September 3: XM Satellite Radio adds Playboy Radio, an adult entertainment premium channel, available for an additional $2.99 per month. [10] December 31: XM Satellite Radio ends the year with 347,159 subscribers. |
| 2003 | January: with the launch and rollout taking longer and more costly than expected, the company undergoes a large and complicated re-capitalization plan. The plan involves XM exchanging US$300 million in old debt for new debt, while deferring interest for 3-years on the notes; as well as restructuring the payment obligations on the General Motors installation agreement, issuing a convertible bond to GM, issuing a warrant for shares to GM, and establishing a revolving credit facility with GM; and finally the plan included new funding coming from a placement of over US$300 million in 10% convertible bonds to a group of private investors. June: Veteran award-winning radio producer Joe Bevilacqua 's radio theater extravaganza, The Comedy-O-Rama Hour, premieres on XM163 Sonic Theater Channel. Celebrity guests include Al Franken , Lewis Black , Shelley Berman , Bob Edwards , Nancy Cartwright and June Foray . July: the company has nearly 700,000 subscribers. December 31: XM Satellite Radio ends the year with 1,360,228 subscribers. |
