# List of Australian Football League players with 200 games for one club
> Western Bulldogs / Footscray Football Club

| Name | Career span | Games |
| --- | --- | --- |
| Brad Johnson | 1994–2010 | 364 |
| Chris Grant | 1990–2007 | 341 |
| Doug Hawkins | 1978–1994 | 329 |
| Scott West | 1993–2008 | 324 |
| Ted Whitten | 1951–1970 | 321 |
| Rohan Smith | 1992–2006 | 300 |
| Robert Murphy | 2000– | 295 |
| Tony Liberatore | 1986–2002 | 283 |
| Matthew Boyd | 2003– | 278 |
| Arthur Olliver | 1935–1950 | 272 |
| Daniel Giansiracusa | 2001–2014 | 265 |
| Stephen Wallis | 1983–1996 | 261 |
| Scott Wynd | 1988–2000 | 237 |
| Luke Darcy | 1994–2007 | 226 |
| Alby Morrison | 1928–1946 | 224 |
| Nathan Eagleton | 2000–2010 | 221 |
| Adam Cooney | 2004–2014 | 219 |
| Daniel Cross | 2002–2013 | 210 |
| Gary Dempsey | 1967–1978 | 207 |
| Dale Morris | 2005– | 207 |
| Lindsay Gilbee | 2001–2012 | 206 |
| Wally Donald | 1946–1958 | 205 |
| Ryan Hargrave | 2002–2012 | 203 |
| Ryan Griffen | 2005–2014 | 202 |
| Norman Ware | 1932–1946 | 200 |
