# London Rail Hubs  Passenger Traffic Bands (Annual Ranges, No Exact Figures)

| Station | Estimated annual passenger traffic band | Band definition | Reference year | Rank (banded) |
| --- | --- | --- | --- | --- |
| Waterloo | 90–110 million | 20M-wide bins | 2023 | A |
| Victoria | 70–90 million | 20M-wide bins | 2023 | A |
| Liverpool Street | 60–70 million | 10M-wide bins | 2023 | B |
| London Bridge | 50–60 million | 10M-wide bins | 2023 | B |
| King's Cross | 40–50 million | 10M-wide bins | 2023 | C |
| Paddington | 35–45 million | 10M-wide bins | 2023 | C |
| Euston | 30–40 million | 10M-wide bins | 2023 | D |
| Stratford | 25–35 million | 10M-wide bins | 2023 | D |
| Clapham Junction | 20–30 million | 10M-wide bins | 2023 | E |
| Finsbury Park | 15–25 million | 10M-wide bins | 2023 | E |
