# Example UK Secondary School  Subject Availability at KS3, GCSE, and A Level

| Subject Area | Subject | Available at KS3 | Available at GCSE | Available at A level | Notes |
| --- | --- | --- | --- | --- | --- |
| English | English Language | Yes | Yes | Yes | Often paired with Literature at GCSE |
| English | English Literature | Yes | Yes | Yes | May be optional at A level depending on uptake |
| Mathematics | Mathematics | Yes | Yes | Yes | Core at GCSE in most schools |
| Mathematics | Further Mathematics | No / Extension | Yes (as additional GCSE in some schools) | Yes | Availability varies by school |
| Science | Biology | Yes | Yes | Yes | Separate sciences may be optional at GCSE |
| Science | Chemistry | Yes | Yes | Yes |  |
| Science | Physics | Yes | Yes | Yes |  |
| Humanities | History | Yes | Yes | Yes |  |
| Humanities | Geography | Yes | Yes | Yes |  |
| Languages | French | Yes | Yes | Yes | Not all schools offer to A level |
| Languages | Spanish | Yes | Yes | Yes |  |
| Arts | Art & Design | Yes | Yes | Yes |  |
| Performing Arts | Music | Yes | Yes | Yes |  |
| Computing | Computer Science | Yes | Yes | Yes | Sometimes labeled "Computing" at KS3 |
| Business | Business Studies | No / Optional | Yes | Yes | Some schools only offer at KS4+ |
| Design & Technology | Design & Technology | Yes | Yes | No / Limited | Often replaced by specialist A levels |
| PE | Physical Education | Yes | Yes | Yes | Often called "PE" at KS3 |
| RE | Religious Studies | Yes | Yes | No / Limited | May exist as Philosophy/Ethics at A level |
