# List of LGBT characters in film
> K

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Kakihara | Ichi the Killer | Bisexual | Film |
| Kafka | Amphetamine | Bisexual | Film |
| Carmilla Karnstein | The Vampire Lovers | Lesbian | Film |
| Kaylo | Crank | Gay | Film |
| Tony Kent | Flirting with Disaster | Bisexual | Film |
| Keoki | Party Monster | Bisexual | Film |
| Nazir Khan | East is East | Gay | Film |
| Akane Kido | Night When Evil Falls | Bisexual | Anime |
| Kim | Yes or No | Lesbian | Film |
