# Jacket Conversion Cheat Sheet with Height Weight (Not Measurement-Based)

| Region Label | Typical Height Range | Typical Weight Range | Recommended Size | Notes |
| --- | --- | --- | --- | --- |
| US | 155–165 cm | 45–55 kg | S | Often worn fitted |
| US | 166–175 cm | 56–70 kg | M | Standard layering |
| US | 176–185 cm | 71–85 kg | L | Consider long lengths |
| UK | 155–165 cm | 45–55 kg | 10 | Similar to US S |
| UK | 166–175 cm | 56–70 kg | 12 | Similar to US M |
| UK | 176–185 cm | 71–85 kg | 14 | Similar to US L |
| EU | 155–165 cm | 45–55 kg | 38 | Approx. UK 10 |
| EU | 166–175 cm | 56–70 kg | 40 | Approx. UK 12 |
| EU | 176–185 cm | 71–85 kg | 42 | Approx. UK 14 |
