# Concerta Dosing by Age Group With Titration Schedule and Maximum Limits (Includes Other Products)

| Patient group | Initial dose | Weekly titration | Max dose | Alternative long-acting MPH options (not Concerta) |
|---|---:|---|---:|---|
| Children 6–12 years | 18 mg QAM | Increase by 18 mg/week | 54 mg/day | Ritalin LA, Metadate CD |
| Adolescents 13–17 years | 18 mg QAM | Increase by 18 mg/week | 72 mg/day | Aptensio XR |
| Adults 18–65 years | 18–36 mg QAM | Increase by 18 mg/week | 72 mg/day | Jornay PM |
| Older adults 65+ years | 18 mg QAM | Slow titration | 72 mg/day* | (Consider non-stimulants) |
| Renal impairment | 18 mg QAM | No adjustment typically | 72 mg/day | — |
| Hepatic impairment | 18 mg QAM | No adjustment typically | 72 mg/day | — |
| Concomitant MAOI use | Contraindicated | — | — | — |

*If clinically appropriate and tolerated.
