# White Wine Varietal Chart (Aromas Flavors and Body Scale)

| White Varietal | Typical Aroma & Flavor Notes | Body (Light→Full) | Common Acidity | Typical Oak Influence |
| --- | --- | --- | --- | --- |
| Pinot Grigio (Pinot Gris) | Lemon, pear, green apple, white flowers | Light | Medium–High | Usually unoaked |
| Sauvignon Blanc | Grapefruit, lime, gooseberry, cut grass, passion fruit | Light–Medium | High | Usually unoaked |
| Albariño | Peach, apricot, citrus zest, saline/mineral | Medium | High | Usually unoaked |
| Riesling (Dry) | Lime, green apple, jasmine, slate/mineral, petrol (aged) | Light | High | Unoaked |
| Chenin Blanc (Dry) | Quince, pear, honeycomb, chamomile, wet wool | Medium | High | Sometimes neutral oak |
| Grüner Veltliner | White pepper, green bean, citrus, stone fruit | Light–Medium | High | Unoaked |
| Viognier | Apricot, peach, orange blossom, ginger, honey | Medium–Full | Low–Medium | Often lightly oaked |
| Chardonnay (Unoaked) | Green apple, lemon curd, melon, chalk/mineral | Medium | Medium | Unoaked |
| Chardonnay (Oaked) | Pineapple, baked apple, vanilla, butter, toast | Medium–Full | Medium | Frequent new/medium oak |
| Gewürztraminer (Dry) | Lychee, rose petal, ginger, spice, ripe pear | Medium | Low–Medium | Unoaked |
| Sémillon | Lemon, beeswax, lanolin, hay, toast (aged) | Medium–Full | Medium | Often neutral/new oak |
| Muscadet (Melon de Bourgogne) | Lemon, green apple, sea spray, mineral | Light | High | Unoaked |
