# List of LGBT characters in film and television (mixed project field)

| Character | Project (Show/Film) | Orientation/Gender Identity | Medium |
| --- | --- | --- | --- |
| Omar Little | The Wire | Gay | TV series |
| Villanelle | Killing Eve | Bisexual | TV series |
| David Rose | Schitt's Creek | Pansexual | TV series |
| Eric Effiong | Sex Education | Gay | TV series |
| Jules Vaughn | Euphoria | Transgender | TV series |
| Ellie Chu | The Half of It | Lesbian | Film |
| Mookie | The Inspection | Gay | Film |
| Bernadette Rostenkowski | The Big Bang Theory | Lesbian | TV series |
| Nadja | What We Do in the Shadows | Bisexual | TV series |
