# MLB Pitchers With Multiple One-Hitters (Modern Era Summary)

| Rank | Pitcher | MLB One-Hitters | Seasons Active | Notes |
|---:|---|---:|---|---|
| 1 | Nolan Ryan | 13 | 1966–1993 | Record total one-hitters |
| 2 | Bob Feller | 8 | 1936–1956 | Includes multiple in 1940s |
| 3 | Cy Young | 7 | 1890–1911 | Early-era totals |
| 4 | Walter Johnson | 6 | 1907–1927 | Long career, many low-hit games |
| 5 | Christy Mathewson | 5 | 1900–1916 | Dead-ball era ace |
| 6 | Sandy Koufax | 4 | 1955–1966 | Also threw multiple no-hitters |
| 7 | Randy Johnson | 4 | 1988–2009 | Power lefty, high-K era |
| 8 | Tom Seaver | 4 | 1967–1986 | Consistent one-hit performances |
| 9 | Steve Carlton | 4 | 1965–1988 | Multiple one-hitters across teams |
| 10 | Bob Gibson | 4 | 1959–1975 | Includes peak late-1960s run |
