# Names by Heritage  Celtic, Arabic, Hebrew, Japanese, and More

| Category | Name | Gender | Origin | Meaning |
| --- | --- | --- | --- | --- |
| Celtic | Aoife | Girl | Irish (Gaelic) | Radiance; beauty |
| Celtic | Cormac | Boy | Irish (Gaelic) | Charioteer; son of defilement (traditional etymology) |
| Arabic | Zayn | Boy | Arabic | Beauty; grace |
| Arabic | Laila | Girl | Arabic | Night |
| Hebrew | Miriam | Girl | Hebrew | Beloved; wished-for child (common interpretations) |
| Hebrew | Noam | Boy/Girl | Hebrew | Pleasantness; charm |
| Japanese | Haru | Boy/Girl | Japanese | Spring; sunshine (depends on kanji) |
| Japanese | Ren | Boy | Japanese | Lotus; love (depends on kanji) |
| Greek | Thalia | Girl | Greek | To blossom; joyous (one of the Muses) |
| Greek | Daphne | Girl | Greek | Laurel tree |
| African (Yoruba) | Ayodele | Boy/Girl | Yoruba (Nigeria) | Joy has come home |
| African (Swahili) | Zuri | Girl | Swahili (East Africa) | Beautiful |
