# Economics-Major-Friendly Job Titles Across Sectors (Illustrative Posting List)

| Job Title | Employer | Location | Sector | Keywords/Tools Often Requested | Notes |
| --- | --- | --- | --- | --- | --- |
| Analyst, Economic Forecasting | Energy Market Advisory Group | Houston, TX | Energy/Consulting | Time series, Excel, Python | Demand/supply outlook reports |
| Associate, Valuation & Economics | Corporate Advisory Firm | Atlanta, GA | Finance/Advisory | DCF, regression, PowerPoint | Business value and market comps |
| Trade Compliance Analyst | Global Logistics Provider | Seattle, WA | Trade/Logistics | Tariffs, HS codes, Excel | Import/export data and audits |
| Public Finance Analyst | Municipal Bond Underwriter | Boston, MA | Capital Markets | Bond math, Excel | Support deal teams, issuer research |
| Program Evaluation Analyst | Nonprofit Research Center | Philadelphia, PA | Nonprofit/Policy | R/Stata, survey methods | Measure program outcomes |
| Antitrust Analyst | Competition Law Consultancy | San Francisco, CA | Legal/Consulting | Market definition, econometrics | Support economists and attorneys |
| Revenue Management Analyst | Airline Pricing Office | Dallas, TX | Transportation | SQL, forecasting | Fare optimization and demand curves |
| Business Intelligence Analyst | Healthcare Network | Minneapolis, MN | Healthcare | SQL, Tableau/Power BI | KPI reporting and utilization trends |
| Compliance & AML Analyst | National Bank | Miami, FL | Banking | Monitoring, SAR basics | Transaction monitoring and reviews |
| Research Associate, Macroeconomics | Investment Research Boutique | New York, NY | Asset Management | Bloomberg, Excel, writing | Macro notes and data updates |
| Economic Consultant (Entry Level) | Litigation Economics Firm | Los Angeles, CA | Consulting | Econometrics, expert reports | Data analysis for disputes |
