# Lagoon ( amusement park )
> Rides

| Name | Year Opened | Description | Thrill Rating |
| --- | --- | --- | --- |
| Baby Boats | 1963 | Small boats that go in a short oval | 0 |
| Bat | 2005 | (see "Existing roller coasters") | 3 |
| BomBora | 2011 | (see "Existing roller coasters") | 3 |
| Bulgy | 1954 | A small roundabout type ride with whales as vehicles. | 0 |
| Dinosaur Drop | 2006 | A 40-foot drop tower with a dinosaur theme; rises and drops several times. | 3 |
| Dragon Fly | 2004 | A twister ride. | 1 |
| Helicopters | 1963 | A small aeroplane type ride with helicopters as vehicles | 1 |
| Jumping Dragon | 2009 | A dog-chasing-its-tail ride with a Chinese dragon theme; rotates clockwise, then reverses direction. | 2 |
| Kontiki | 2004 | A spinning boat ride | 2 |
| Ladybug Bop | 2006 | A 40-foot drop tower with a ladybug theme; rises and drops several times. | 2 |
| Moonraker | 1983 | A small aeroplane type ride with spaceships as vehicles | 2 |
| OdySea | 2008 | An aeroplane type water ride with sea creatures as vehicles; riders control vehicle height. Water squirts at the vehicles. | 3 |
| Puff the Little Fire Dragon | 1985 | A small kiddie coaster. | 2 |
| Red Baron | 1984 | A small aeroplane type ride. | 1 |
| Red Rock Rally | 2013 | Miniature 4x4 vehicles revolving around an oval track. | 1 |
| Scalawags | 1986 | A small aeroplane type ride with preschool animals as vehicles | 2 |
| Scamper | 1977 | A miniature bumper car ride | 1 |
| Sky Fighter | 1954 | A small airplane type ride with 2 person vehicles | 2 |
| Speedway Jr | 1978 | Miniature cars going around a track | 1 |
| Tipsey Tea Cups | 2013 | A tea cup spinning ride | 3 |
