# Parallel Book Names Across Bible Versions (Pentateuch & Historical Books)

| Section | Common English (Protestant) | Hebrew Bible (Tanakh) | Latin Vulgate | Douay–Rheims | Notes |
| --- | --- | --- | --- | --- | --- |
| Torah / Law | Genesis | Bereshit | Genesis | Genesis | — |
| Torah / Law | Exodus | Shemot | Exodus | Exodus | — |
| Torah / Law | Leviticus | Vayikra | Leviticus | Leviticus | — |
| Torah / Law | Numbers | Bemidbar | Numeri | Numbers | Vulgate title differs |
| Torah / Law | Deuteronomy | Devarim | Deuteronomium | Deuteronomy | — |
| Former Prophets / History | Joshua | Yehoshua | Iosue | Josue | Spelling varies in older English Catholic editions |
| Former Prophets / History | Judges | Shoftim | Iudicum | Judges | — |
| Former Prophets / History | Ruth | Rut | Ruth | Ruth | — |
| Kingdoms / Samuel | 1 Samuel | 1 Samuel | 1 Regum | 1 Kings | Vulgate/Douay count Samuel as “Kings/Regum” |
| Kingdoms / Samuel | 2 Samuel | 2 Samuel | 2 Regum | 2 Kings | Vulgate/Douay mapping differs from Protestant naming |
| Kingdoms / Kings | 1 Kings | 1 Kings | 3 Regum | 3 Kings | Vulgate shifts numbering |
| Kingdoms / Kings | 2 Kings | 2 Kings | 4 Regum | 4 Kings | Vulgate shifts numbering |
