# Example University Academic Calendar  Semester Teaching Periods and Vacation Blocks (2026–2027)

| Period Type | Period Name | Start Date | End Date | Notes |
| --- | --- | --- | --- | --- |
| Teaching (Semester) | Semester 1 (Teaching Block A) | 2026-09-28 | 2026-11-20 | Core teaching weeks |
| Break (Holiday) | Autumn Reading Week | 2026-11-23 | 2026-11-27 | No scheduled teaching |
| Teaching (Semester) | Semester 1 (Teaching Block B) | 2026-11-30 | 2026-12-18 | Teaching resumes |
| Break (Holiday) | Winter Vacation | 2026-12-19 | 2027-01-10 | University closed/reduced services |
| Assessment | Semester 1 Assessment Period | 2027-01-11 | 2027-01-22 | Exams/assessments (varies by course) |
| Teaching (Semester) | Semester 2 (Teaching Block A) | 2027-01-25 | 2027-03-19 | Teaching weeks |
| Break (Holiday) | Spring Break | 2027-03-22 | 2027-03-26 | No teaching |
| Teaching (Semester) | Semester 2 (Teaching Block B) | 2027-03-29 | 2027-05-21 | Teaching continues |
| Break (Holiday) | Easter Vacation | 2027-05-22 | 2027-06-06 | Vacation block |
| Assessment | Semester 2 Assessment Period | 2027-06-07 | 2027-06-18 | Exams/assessments |
| Break (Holiday) | Summer Vacation | 2027-06-19 | 2027-09-19 | Long break; some resits may occur |
| Assessment | Resit/Referral Assessment Window | 2027-08-16 | 2027-08-27 | Optional/where applicable |
