# Judgment of Paris ( wine )
> The results

| Rank | Grade | Wine | Vintage | Origin |
| --- | --- | --- | --- | --- |
| 1. | 17 | Château Haut-Brion | 1970 | France |
| 2. | 16.5 | Clos Du Val Winery | 1972 | USA |
| 2. | 16.5 | Stag's Leap Wine Cellars | 1973 | USA |
| 4. | 16 | Château Mouton-Rothschild | 1970 | France |
| 5. | 15.5 | Ridge Vineyards Monte Bello | 1971 | USA |
| 6. | 11 | Château Montrose | 1970 | France |
| 7. | 10 | Heitz Wine Cellars Martha's Vineyard | 1970 | USA |
| 8. | 8 | Château Leoville Las Cases | 1971 | France |
| 9. | 6 | Freemark Abbey Winery | 1969 | USA |
| 10. | 3 | Mayacamas Vineyards | 1971 | USA |
