# Marinella
> Marinella in Greek Cinema

| Year | Movie title | Director | Songs |
| --- | --- | --- | --- |
| 1960 | KYRIA DIMARHOS (Madame mayor) [11] | Roviros Manthoulis | "Gia 'mas pote min ximerosi", "Ziguala", "Allaxane ta pragmata" |
| 1962 | KLAPSE, FTOHI MOU KARDIA (Weep, my poor heart) [12] | Kostas Strantzalis | "Fevgo me pikra sta xena" |
| 1965 | PEXE, BOUZOUKI MOU GLYKO (Play, my sweet bouzouki) [13] | Kostas Strantzalis | "Fevgo me pikra sta xena" |
| 1965 | AFISTE ME NA ZISO (Let me live) [14] | Andreas Katsimitsoulias | "Emis mazi tha zisoume" |
| 1965 | I ADISTAKTI (The unhesitant) [15] | Dinos Katsouridis | "Pios dromos eine anihtos" |
| 1965 | PRODOMENI (Betrayed) [16] | Christos Kyriakopoulos | "Mes stis agapis mas to tzaki", "Tora pou s' eho anagki" |
| 1965 | TIMORIA (Punishment) [17] | Dinos Katsouridis | "Na fygo, na fygo", "Prodomenes kardies" |
| 1965 | I KATAFRONEMENI (The scorned) [18] | Nikos Varveris | "Orkizome stin antriki timi mou" |
| 1965 | DEN MPOROUN NA MAS HORISOUN (They can't keep us apart) [19] | Christos Kyriakopoulos | "Me to voria" |
| 1966 | I AGGELI TIS AMARTIAS (Angels of sin) [20] | Andreas Katsimitsoulias | "Na fygo, na fygo" |
| 1967 | HARTORIHTRA (The fortune teller) [21] | Kostas Karagiannis | "Dos' mou agapi", "Eime hartorihtra fina" |
| 1968 | O PIO KALOS O MATHITIS (The best student) [22] | Kostas Andritsos | "Stalia – stalia" |
| 1968 | GORGONES KE MAGKES (Mermaids and tough guys) [23] | Giannis Dalianidis | "Anixe petra", "Anixe Petra (Mpate koritsia sto horo)" |
| 1969 | GYMNI STO DROMO (Naked in the street) [24] | Giannis Dalianidis | "Asteri sto parathyro", "Dio aderfia" |
| 1969 | O MPLOFATZIS (Τhe bluffer) [25] | Vasilis Georgiadis | "Pios ein' aftos" |
| 1969 | I PARIZIANA (The Parisienne) [26] | Giannis Dalianidis | "Dos' mou t' athanato nero", "Zografismena sto harti", "To megalo finale tis Parizianas" |
| 1969 | ISAIA MI HOREVIS (No wedding dance) [27] | Kostas Karagiannis | "Pali tha klapso" |
| 1970 | KRIMA TO MPOI SOU (What a waste) [28] | Kostas Karagiannis | "Krima to mpoi sou" |
