# List of boxing triple champions
> Group of triple champions

| Number (Major titles only): | Number (Minor and Major titles): | Name: | Nickname: | Date of 3rd Title won: | Division Titles: | Total Number Titles: | Successful Defenses: |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Bob Fitzsimmons | Ruby | 1903-11-25 | Middleweight , Heavyweight and Light heavyweight | 4 | 160: 2 Hvy: 0 175: 0 |
| 2 | 2 | Tony Canzoneri | None | 1931-04-24 | Featherweight , Lightweight and Light welterweight | 6 | 126: 1 135: 4 140: 2 |
| 3 | 3 | Barney Ross | None | 1934-05-28 | Lightweight , Light welterweight and Welterweight | 4 | 135: 1 140: 5 147: 2 |
| 4 | 4 | Henry Armstrong | Homicide Hank | 1938-05-31 | Featherweight , Lightweight and Welterweight | 6 | 126: 1+4 135: 1 147: 19 |
| 5 | 5 | Emile Griffith | None | 1966-04-25 | Light middleweight , Welterweight and Middleweight | 8 | 154: 1 147: 1+4 160: 2 |
| 6 | 6 | Wilfred Benítez | El Radar | 1981-05-23 | Light welterweight , Welterweight and Light middleweight | 8 | 140: 3 147: 2 154: 2 |
| 7 | 7 | Alexis Argüello | El Flaco Explosivo | 1981-06-20 | Featherweight , Super featherweight and Lightweight | 4 | 126: 4 130: 8 135: 4 |
| 8 | 8 | Roberto Durán | Manos de Piedra | 1983-06-16 | Lightweight , Welterweight and Light middleweight | 6 | 135: 12 147: 0 154: 0 |
| 9 | 9 | Wilfredo Gómez | Bazooka | 1985-05-19 | Super bantamweight , Featherweight and Super featherweight | 3 | 122: 17 126: 0 130: 0 |
| 10 | 10 | Sugar Ray Leonard | Sugar Ray | 1987-04-06 | Welterweight , Light middleweight and Middleweight | 6 | 147: 5 154: 0 160: 0 |
| 11 | 11 | Thomas Hearns | The Hitman | 1987-10-29 | Welterweight , Light middleweight and Middleweight | 8 | 147: 3 154: 3 175: 0 |
| 12 | 12 | Jeff Fenech | Marrickville Mauler | 1988-03-07 | Bantamweight , Super bantamweight and Featherweight | 3 | 118: 3 122: 4 126: 3 |
| 13 | 13 | Héctor Camacho | Macho Man | 1989-03-06 | Super featherweight , Lightweight and Super lightweight | 7 | 130: 1 135: 1 140: 2 |
| 14 | 14 | Julio César Chávez | J.C. Superstar | 1989-05-13 | Super featherweight , Lightweight and Super lightweight | 6 | 130: 9 135: 2 140: 12+4 |
| 15 | 15 | Iran Barkley | The Blade | 1992-03-20 | Middleweight , Super middleweight and Light heavyweight | 4 | 160: 0 168: 0 175: 0 |
| 16 | 16 | Duke McKenzie | None | 1992-10-15 | Flyweight , Bantamweight and Super bantamweight | 3 | 112: 1 118: 2 122: 0 |
| 17 | 17 | Pernell Whitaker | Sweet Pea | 1993-03-06 | Lightweight , Super lightweight and Welterweight | 7 | 135: 8 140: 0 147: 9 |
| N/A | 18 | Vinny Pazienza | Pazmanian Devil | 1993-12-28 | Lightweight , Super welterweight and Super middleweight | 6 | 135: 0 154: 0 168: 2 |
| N/A | 19 | Roger Mayweather | Black Mamba | 1994-05-28 | Super featherweight , Light welterweight and Welterweight | 5 | 130: 2 140: 3 147: 0 |
| 18 | 20 | Mike McCallum | Bodysnatcher | 1994-07-23 | Light middleweight , Middleweight and Light heavyweight | 3 | 154: 6 160: 4 175: 1 |
| N/A | 21 | Lester Ellis | None | 1994-12-03 | Super featherweight , Light welterweight and Welterweight | 5 | 130: 1 140: 0 147: 0 |
| N/A | 22 | Bobby Czyz | Matinee Idol | 1995-12-05 | Light heavyweight , Cruiserweight and Super-cruiserweight | 3 | 175: 3 190: 3 210: 0 |
| N/A | 23 | Joey Gamache | None | 1996-03-31 | Super featherweight , Lightweight and Super lightweight | 4 | 130: 0 135: 0 140: 0 |
| 19 | 24 | Wilfredo Vázquez | Orgullo de Puerto Rico | 1996-05-18 | Bantamweight , Super bantamweight and Featherweight | 4 | 118: 1 122: 9 126: 4 |
| 20 | 25 | Oscar De La Hoya | Golden Boy | 1996-06-07 | Super featherweight , Lightweight and Super lightweight | 10 | 130: 1 135: 6 140: 1 |
| 25 | 26 | James Toney | Lights Out | 1996-08-09 | Middleweight , Super middleweight and Light heavyweight | 10 | 160: 1+6 168: 3 175: 5 |
| N/A | 27 | James "Buddy" McGirt | Buddy | 1996-10-25 | Light welterweight , Welterweight and Light middleweight | 3 | 140: 1 147: 2 154: 0 |
| N/A | 28 | Orlando Canizales | None | 1996-11-02 | Bantamweight , Super bantamweight and Featherweight | 3 | 118: 15 122: 2 126: 0 |
| 21 | 29 | Roy Jones Jr. | Junior | 1996-11-22 | Middleweight , Super middleweight and Light heavyweight | 12 | 160: 4 168: 5 175: 11 |
| N/A | 30 | Greg Haugen | Greg Lee Haugen | 1998-11-20 | Lightweight , Super lightweight and Welterweight | 4 | 135: 2 140: 0 147: 0 |
| 22 | 31 | Leo Gamez | Torito | 1999-03-13 | Minimumweight , Light flyweight and Flyweight | 4 | 105: 1 108: 4 112: 1 |
| N/A | 32 | Mauricio Pastrana | El Pintoso | 1999-04-03 | Light flyweight , Flyweight and Super flyweight | 5 | 108: 2 112: 0 115: 3 |
| N/A | 33 | Junior Jones | Poison | 1999-04-10 | Bantamweight , Super bantamweight and Featherweight | 3 | 118: 1 122: 1 126: 1 |
| 23 | 34 | Félix Trinidad | Tito | 2001-05-13 | Welterweight , Light middleweight and Middleweight | 5 | 147: 15 154: 2 160: 0 |
| N/A | 35 | Cassius Baloyi | Mr. Shy Guy | 2002-04-17 | Super bantamweight , Featherweight and Super featherweight | 5 | 122: 4 126: 7 130: 5+1 |
| 24 | 36 | Johnny Tapia | Mi Vida Loca | 2002-04-27 | Super flyweight , Bantamweight and Featherweight | 3 | 115: 14 118: 2 126: 0 |
| N/A | 37 | Lehlohonolo Ledwaba | Hands of Stone | 2002-07-27 | Bantamweight , Super bantamweight and Featherweight | 3 | 118: 1 122: 5 126: 0 |
| N/A | 39 | Mzukisi Sikali | Lacier | 2002-09-14 | Light flyweight , Super bantamweight and Flyweight | 3 | 108: 0 122: 1 112: 2 |
| N/A | 40 | Danny Romero | Kid Dynamite | 2003-05-23 | Flyweight , Super flyweight and Super bantamweight | 3 | 112: 1 115: 2 122: 0 |
| 26 | 41 | Shane Mosley | Sugar Shane | 2003-09-13 | Lightweight , Welterweight and Light middleweight | 3 | 135: 10 147: 4 154: 0 |
| N/A | 42 | Silvio Branco | Barbaro | 2003-10-10 | Middleweight , Super middleweight and Light heavyweight | 5 | 160: 8 168: 1 175: 0 |
| 27 | 43 | Manny Pacquiao | Pac-Man | 2003-11-15 | Flyweight , Super bantamweight and Featherweight | 9 | 112: 1 122: 4 126: 2 |
| 28 | 44 | Erik Morales | El Terrible | 2004-02-28 | Super bantamweight , Featherweight and Super featherweight | 6 | 122: 9 126: 1+2 130: 1 |
| 29 | 45 | Marco Antonio Barrera | The Baby-Faced Assassin | 2004-11-27 | Super bantamweight , Featherweight and Super featherweight | 7 | 122: 8+5 126: 2 130: 4 |
| N/A | 46 | Damaen Kelly | None | 2004-12-17 | Flyweight , Bantamweight and Super flyweight | 3 | 112: 1 118: 0 115: 0 |
| N/A | 47 | Rob Calloway | All-American Prizefighter | 2005-06-24 | Light heavyweight , Super-cruiserweight and Heavyweight | 4 | 175: 4 210: 0 Hvy: 0 |
| 30 | 48 | Floyd Mayweather, Jr. | Money Mayweather | 2005-06-25 | Super featherweight , Lightweight and Super lightweight | 8 | 130: 8 135: 3 140: 0 |
| N/A | 49 | Zab Judah | Super Zab | 2007-11-17 | Light welterweight , Welterweight and Light middleweight | 6 | 140: 6 147: 1 154: 0 |
| 31 | 50 | Juan Manuel Márquez | Dinamita | 2008-09-13 | Featherweight , Super featherweight and Lightweight | 7 | 126: 4 130: 1 135: 0 |
| 32 | 51 | Jorge Arce | Travieso | 2008-09-15 | Light flyweight , Flyweight * and Super flyweight * | 5 | 108: 2+8 112: 4 115: 1+0 |
| 33 | 52 | Fernando Montiel | Cochulito | 2009-04-25 | Flyweight , Super flyweight and Bantamweight | 4 | 112: 3 115: 2+7 118: 0 |
| N/A | 53 | Vic Darchinyan | Raging Bull | 2010-05-20 | Flyweight , Super flyweight and Bantamweight | 6 | 112: 5 115: 2 118: 0 |
| 34 | 54 | Miguel Ángel Cotto | Junito | 2010-06-05 | Light welterweight , Welterweight and Super welterweight | 4 | 140: 6 147: 4 154: 0 |
| 35 | 55 | Koki Kameda |  | 2010-12-26 | Light Flyweight , Flyweight and Bantamweight | 3 | 108: 112: 118: |
| 36 | 56 | Nonito Donaire | The Filipino Flash | 2011-02-19 | Flyweight , Bantamweight and Super Bantamweight | 4 | 112: 3 118: 1 122: 4 |
