# Oman Air — Fleet Summary by Aircraft Model

| Fleet segment | Aircraft model | Active aircraft | Orders | Typical configuration / notes |
| --- | --- | ---:| ---:| --- |
| Narrow-body | Airbus A320-200 | 10 | 0 | Short/medium-haul |
| Narrow-body | Airbus A321neo | 6 | 2 | Higher-capacity narrow-body |
| Wide-body | Boeing 787-8 | 2 | 0 | Long-haul |
| Wide-body | Boeing 787-9 | 5 | 0 | Long-haul (higher capacity) |
| Wide-body | Airbus A330-200 | 4 | 0 | Long-haul / regional wide-body |
| Wide-body | Airbus A330-300 | 2 | 0 | Long-haul |
| Regional | Embraer 175 | 4 | 0 | Regional network |
| Turboprop | ATR 72-600 | 3 | 0 | Domestic / short sectors |
| Cargo | Boeing 737-800BCF | 1 | 1 | Dedicated freighter |
| Charter/VIP | Airbus A319CJ | 1 | 0 | Corporate / government charter |
