# Roster of Alabama Confederate Infantry Regiments (state-raised units)

| Regiment / Final Designation | Muster-In (Approx.) | First Field Commander | Alternate / Common Names | Notes |
|---|---|---|---|---|
| 1st Alabama Infantry Regiment | Apr 1861 | Col R. H. Chilton | "First Alabama" | Early-war volunteer infantry; reorganized during 1862 |
| 4th Alabama Infantry Regiment | May 1861 | Col Barnard E. Bee, Jr. | "Bee's Alabama Regiment" | Served in Army of Northern Virginia |
| 5th Alabama Infantry Regiment | May 1861 | Col Robert E. Rodes | "Rodes' Alabama" | Later part of Rodes' Brigade |
| 6th Alabama Infantry Regiment | May 1861 | Col John B. Gordon | "Gordon's Regiment" | Known for later leadership of John B. Gordon |
| 7th Alabama Infantry Regiment | May 1861 | Col James F. Dowdell | "Dowdell's Alabama" | Reorganized after 1862 conscription |
| 8th Alabama Infantry Regiment | May 1861 | Col Hilary A. Herbert | "Herbert's Regiment" | Fought in multiple Eastern Theater campaigns |
| 9th Alabama Infantry Regiment | May 1861 | Col F. S. Hale | "Hale's Alabama" | Often listed with early Pensacola service |
| 10th Alabama Infantry Regiment | Jun 1861 | Col John H. Forney | "Forney's Regiment" | Served with Alabama brigades in the East |
| 11th Alabama Infantry Regiment | Jun 1861 | Col William F. Tucker | "Tucker's Alabama" | Confederate service following initial organization |
| 12th Alabama Infantry Regiment | Jul 1861 | Col R. C. (R.) Clayton | "Clayton's Regiment" | Later associated with Western Theater operations |
| 13th Alabama Infantry Regiment | Aug 1861 | Col James J. Griffin | "Griffin's Alabama" | Mustered from multiple central Alabama counties |
