# Baby Names and Meanings (Origin Not Specified)

| Name | Gender | Meaning/Definition | Usage Notes |
|---|---|---|---|
| Ethan | Boy | strong, firm | Common in modern English-speaking countries |
| Mia | Girl | mine; beloved | Short, fashionable name |
| Aria | Girl | melody; song | Used in music terminology as well |
| Leo | Boy | lion | Often chosen for simplicity |
| Ivy | Girl | climbing vine | Nature-themed naming trend |
| Nova | Girl | new; star explosion | Space-inspired meaning |
| Grace | Girl | elegance; divine favor | Classic virtue name |
| Mason | Boy | stone worker | Occupational meaning |
| Riley | Unisex | courageous | Popular unisex option |
| Aurora | Girl | dawn | Mythic/poetic association |
