# Leibniz Association
> Sections

| Name | Location | Acronym | Website |
| --- | --- | --- | --- |
| Academy for Spatial Research and Planning – Leibniz Forum for Spatial Sciences | Hannover | ARL | www.arl-net.org |
| German Institute for Economic Research | Berlin | DIW | www.diw.de |
| German Research Institute for Public Administration | Speyer | FÖV | www.foev-speyer.de |
| GESIS - Leibniz Institute for Social Sciences | Mannheim - Bonn - Köln | GESIS | www.gesis.org |
| GIGA German Institute of Global and Area Studies | Hamburg | GIGA | www.giga-hamburg.de |
| Leibniz Institute of Agricultural Development in Central and Eastern Europe | Halle | IAMO | www.iamo.de |
| Leibniz Institute for Regional Geography | Leipzig | IfL | www.ifl-leipzig.com/ |
| Ifo Institute for Economic Research at the University of Munich | München | ifo | www.ifo.de |
| Kiel Institute for the World Economy | Kiel | IfW | www.ifw-kiel.de |
| ILS - Research Institute for Regional and Urban Development German Company (associated member) | Dortmund | ILS | www.ils-forschung.de |
| Leibniz Institute of Ecological Urban and Regional Development | Dresden | IÖR | www.ioer.de |
| Leibniz Institute for Regional Development and Structural Planning | Erkner | IRS | www.irs-net.de |
| Halle Institute for Economic Research | Halle | IWH | www.iwh-halle.de |
| Peace Research Institute Frankfurt | Frankfurt am Main | PRIF | www.hsfk.de |
| Rheinisch-Westfälisches Institut für Wirtschaftsforschung | Essen | RWI | www.rwi-essen.de |
| Social Science Research Center Berlin | Berlin | WZB | www.wzb.eu |
| German National Library of Economics – Leibniz Information Centre for Economics | Kiel & Hamburg | ZBW | www.zbw-kiel.de |
| Centre for European Economic Research | Mannheim | ZEW | www.zew.de |
