# Bachelor of Social Work (BSW) Degree  Typical Salary Ranges by Role (U.S.)

| Role (BSW-aligned) | Common Work Setting | Typical Annual Pay Range (USD) | Typical Pay Metric | Notes |
| --- | --- | --- | --- | --- |
| Case Manager (Entry-Level) | Community agencies, nonprofits | $35,000 - $52,000 | Base salary range | Often includes intake, service coordination |
| Child & Family Social Service Assistant | Family services, youth programs | $33,000 - $48,000 | Base salary range | Frequently supervised by an MSW/LCSW |
| Behavioral Health Technician | Residential or outpatient programs | $30,000 - $45,000 | Base salary range | May be hourly in some markets |
| Social Services Specialist | County/state services | $38,000 - $58,000 | Base salary range | Government roles may have step pay scales |
| School Social Work Assistant / Support Staff | K-12 districts | $36,000 - $55,000 | Base salary range | Title varies widely by district |
| Program Coordinator (Human Services) | Nonprofit programs | $40,000 - $60,000 | Base salary range | May require 1-3 years experience |
| Community Outreach Coordinator | Public health, community orgs | $39,000 - $59,000 | Base salary range | Compensation can vary by grants/funding |
| Intake Specialist | Clinics, crisis lines, agencies | $34,000 - $50,000 | Base salary range | Sometimes includes shift differentials |
| Residential Counselor | Group homes, shelters | $31,000 - $46,000 | Base salary range | Higher end often for nights/weekends |
| Victim Advocate | DV/SA service organizations | $35,000 - $53,000 | Base salary range | Some roles funded by local/state contracts |
