# Pacific War Timeline  Key Milestones Leading to Hiroshima (1941–1945)

| Date | Event | Why It Mattered for the Road to Hiroshima |
| --- | --- | --- |
| 7 Dec 1941 | Attack on Pearl Harbor | Triggered full U.S. entry into the Pacific War and a shift to total-war mobilization. |
| 8–23 Dec 1941 | Invasion of the Philippines begins (opening phase) | Demonstrated Japan’s rapid expansion and set up a long, costly Pacific campaign. |
| 18 Apr 1942 | Doolittle Raid on Tokyo | Signaled U.S. intent to strike Japan directly and influenced Japan’s strategic decisions and defenses. |
| 4–7 Jun 1942 | Battle of Midway | Major turning point that weakened Japan’s carrier force and enabled U.S. offensive momentum. |
| 7 Aug 1942 – 9 Feb 1943 | Guadalcanal Campaign | Marked sustained U.S. offensive operations and a grinding attritional pattern in the Pacific. |
| 20–23 Jun 1944 | Battle of the Philippine Sea | Crippled Japanese naval air power, pushing Japan toward a defensive posture and desperation measures. |
| 15 Jun – 9 Jul 1944 | Battle of Saipan (Marianas) | Put Japan within range of U.S. B-29 operations from the Marianas, increasing pressure on the home islands. |
| Oct 1944 | Battle of Leyte Gulf | Effectively ended Japan’s ability to conduct major fleet operations, isolating Japan strategically. |
| 19 Feb – 26 Mar 1945 | Battle of Iwo Jima | Provided fighter-escort and emergency landing capacity for B-29 raids, intensifying the air campaign. |
| 1 Apr – 22 Jun 1945 | Battle of Okinawa | Extremely high casualties shaped U.S. expectations for a potential invasion of Japan, increasing incentives to seek a decisive end. |
| 26 Jul 1945 | Potsdam Declaration issued | Formal ultimatum framework increased endgame pressure and clarified surrender expectations. |
| 6 Aug 1945 | Atomic bombing of Hiroshima | Culmination of escalating U.S.–Japan conflict and endgame decisions in the Pacific Theater. |
