# US Seat Belt Laws — Exemptions and Special Vehicle Categories by State

| State | Exemptions (Examples) | Special Vehicles Mentioned | Medical Waiver Allowed | Notes |
|---|---|---|---|---|
| California | Farm vehicles; antique vehicles | Farm/antique | Yes | Proof requirements differ by county |
| Texas | Rural mail carriers; certain work vehicles | Work/restricted-use | Yes | Waiver documentation required |
| New York | Taxis in service; emergency vehicles | Taxi/emergency | Yes | Exemptions narrowly defined |
| Illinois | Parade vehicles; certain low-speed uses | Low-speed/parade | Yes | Often tied to local definitions |
| Nevada | Off-road operation; some utility vehicles | Utility/off-road | Limited | Clarifies public road applicability |
| Ohio | Delivery routes; occupational necessity | Commercial/delivery | Yes | Employer policies may apply |
| Oregon | Classic cars; medical conditions | Classic/medical | Yes | Medical statement must be current |
| Pennsylvania | Rural letter carriers; certain buses | Bus/mail | Yes | Child restraint rules separate |
| Washington | Public transit operations | Transit | Limited | Transit agency policies vary |
| Wisconsin | Certain farm operations | Farm | Yes | Exemptions do not imply no restraint for minors |
