# Northshire Local Authority School Term Dates 2025–2026 (with Half-Term Breaks)

| Term / Break (in-term interruptions highlighted) | Segment | Start date | End date | Notes |
| --- | --- | --- | --- | --- |
| Autumn Term | Term (Part 1) | 2025-09-03 | 2025-10-24 | Teaching weeks before the break |
| Autumn Half-Term Break | Half-term break | 2025-10-27 | 2025-10-31 | In-term break (childcare/travel impact) |
| Autumn Term | Term (Part 2) | 2025-11-03 | 2025-12-19 | Continues after half-term |
| Christmas Holidays | Holiday | 2025-12-22 | 2026-01-02 | Not an in-term half-term |
| Spring Term | Term (Part 1) | 2026-01-05 | 2026-02-13 | Teaching weeks before the break |
| Spring Half-Term Break | Half-term break | 2026-02-16 | 2026-02-20 | In-term break |
| Spring Term | Term (Part 2) | 2026-02-23 | 2026-03-27 | Continues after half-term |
| Easter Holidays | Holiday | 2026-03-30 | 2026-04-10 | Not a half-term |
| Summer Term | Term (Part 1) | 2026-04-13 | 2026-05-22 | Teaching weeks before the break |
| Summer Half-Term Break | Half-term break | 2026-05-25 | 2026-05-29 | In-term break |
| Summer Term | Term (Part 2) | 2026-06-01 | 2026-07-17 | Continues after half-term |
| Summer Holidays | Holiday | 2026-07-20 | 2026-08-31 | End of academic year break |
