# John L . Williams
> Professional career

| Year | Team | GP | Att | Yds | Avg | Long | Rush TD | Rec | Yds | Avg | Long | Rec TD |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1986 | Seattle Seahawks | 16 | 129 | 538 | 4.2 | 36 | 0 | 33 | 219 | 6.6 | 23 | 0 |
| 1987 | Seattle Seahawks | 12 | 113 | 500 | 4.4 | 48 | 1 | 38 | 420 | 11.1 | 75 | 3 |
| 1988 | Seattle Seahawks | 16 | 189 | 877 | 4.6 | 44 | 4 | 58 | 651 | 11.2 | 75 | 3 |
| 1989 | Seattle Seahawks | 15 | 146 | 499 | 3.4 | 21 | 1 | 76 | 657 | 8.6 | 51 | 6 |
| 1990 | Seattle Seahawks | 16 | 187 | 714 | 3.8 | 25 | 3 | 73 | 699 | 9.6 | 60 | 0 |
| 1991 | Seattle Seahawks | 16 | 188 | 741 | 3.9 | 42 | 4 | 61 | 499 | 8.1 | 35 | 1 |
| 1992 | Seattle Seahawks | 16 | 114 | 339 | 3.0 | 14 | 1 | 74 | 556 | 7.5 | 27 | 2 |
| 1993 | Seattle Seahawks | 16 | 82 | 371 | 4.5 | 38 | 3 | 58 | 450 | 7.8 | 25 | 1 |
| 1994 | Pittsburgh Steelers | 15 | 68 | 317 | 4.7 | 23 | 1 | 51 | 378 | 7.4 | 23 | 2 |
| 1995 | Pittsburgh Steelers | 11 | 29 | 110 | 3.8 | 31 | 0 | 24 | 127 | 5.3 | 20 | 1 |
| Career Totals |  | 149 | 1,245 | 5,006 | 4.0 | 48 | 18 | 546 | 4,656 | 8.5 | 75 | 19 |
