# Decan (Face) Rulers by Sign (Modern Traditional Reference Table)

| Sign | 0°–10° (1st Decan) | 10°–20° (2nd Decan) | 20°–30° (3rd Decan) | Notes |
|---|---|---|---|---|
| Aries | Mars | Sun | Jupiter | Fire/Cardinal |
| Taurus | Venus | Mercury | Saturn | Earth/Fixed |
| Gemini | Mercury | Venus | Uranus | Air/Mutable |
| Cancer | Moon | Pluto | Neptune | Water/Cardinal |
| Leo | Sun | Jupiter | Mars | Fire/Fixed |
| Virgo | Mercury | Saturn | Venus | Earth/Mutable |
| Libra | Venus | Uranus | Mercury | Air/Cardinal |
| Scorpio | Pluto | Neptune | Moon | Water/Fixed |
| Sagittarius | Jupiter | Mars | Sun | Fire/Mutable |
| Capricorn | Saturn | Venus | Mercury | Earth/Cardinal |
| Aquarius | Uranus | Mercury | Venus | Air/Fixed |
| Pisces | Neptune | Moon | Pluto | Water/Mutable |
