# Liga MX (Apertura 2015) — Clubs in the league

| Category | Club | Home city | Stadium (optional) |
| --- | --- | --- | --- |
| First division | América | Mexico City | Estadio Azteca |
| First division | Atlas | Guadalajara | Estadio Jalisco |
| First division | Chiapas | Tuxtla Gutiérrez | Estadio Víctor Manuel Reyna |
| First division | Cruz Azul | Mexico City | Estadio Azul |
| First division | Guadalajara | Guadalajara | Estadio Omnilife |
| First division | León | León | Estadio León |
| First division | Monterrey | Monterrey | Estadio BBVA Bancomer |
| First division | Morelia | Morelia | Estadio Morelos |
| First division | Pachuca | Pachuca | Estadio Hidalgo |
| First division | Puebla | Puebla | Estadio Cuauhtémoc |
| First division | Querétaro | Querétaro | Estadio Corregidora |
| First division | Santos Laguna | Torreón | Estadio TSM Corona |
| First division | Tigres UANL | San Nicolás de los Garza | Estadio Universitario |
| First division | Tijuana | Tijuana | Estadio Caliente |
| First division | Toluca | Toluca | Estadio Nemesio Díez |
| First division | UNAM (Pumas) | Mexico City | Estadio Olímpico Universitario |
| First division | Veracruz | Veracruz | Estadio Luis "Pirata" Fuente |
| First division | Dorados de Sinaloa | Culiacán | Estadio Banorte |
