# USPS Priority Mail Rates  Flat Rate Packaging vs Zone-Based (Weight) Pricing

| Priority Mail Option | Example Package | Commercial Base | Retail (Post Office) | Pricing Basis | Typical Use |
| --- | --- | ---:| ---:| --- | --- |
| Flat Rate | Small Flat Rate Box | $8.25 | $10.05 | Flat Rate | Dense, heavy items |
| Flat Rate | Medium Flat Rate Box | $13.90 | $16.55 | Flat Rate | Medium shipments |
| Flat Rate | Large Flat Rate Box | $19.05 | $22.65 | Flat Rate | Bulky/heavy |
| Flat Rate | Padded Flat Rate Envelope | $9.05 | $10.25 | Flat Rate | Apparel, accessories |
| Zone-Based | 2 lb, Zone 2 (sample) | $8.15 | $10.20 | Weight + zone | Nearby shipments |
| Zone-Based | 5 lb, Zone 5 (sample) | $12.85 | $16.40 | Weight + zone | Mid-distance |
| Zone-Based | 10 lb, Zone 8 (sample) | $28.90 | $36.10 | Weight + zone | Long-distance |
| Add-on | Insurance (up to $200) | $3.10 | $3.10 | Extra service | Optional |
| Add-on | Signature Confirmation | $3.90 | $3.90 | Extra service | Optional |
