# VSEPR by Counts  Bonding Groups and Lone Pairs → Predicted Central-Atom Shape (with common names)

| Bonding groups (X) | Lone pairs (E) | Total electron domains (SN=X+E) | Electron-domain arrangement | Predicted molecular shape | Common alternative name |
| --- | --- | --- | --- | --- | --- |
| 2 | 0 | 2 | Linear | Linear | Linear |
| 3 | 0 | 3 | Trigonal planar | Trigonal planar | Trigonal planar |
| 2 | 1 | 3 | Trigonal planar | Bent | Angular |
| 4 | 0 | 4 | Tetrahedral | Tetrahedral | Tetrahedral |
| 3 | 1 | 4 | Tetrahedral | Trigonal pyramidal | Pyramidal |
| 2 | 2 | 4 | Tetrahedral | Bent | V-shaped |
| 5 | 0 | 5 | Trigonal bipyramidal | Trigonal bipyramidal | TBP |
| 4 | 1 | 5 | Trigonal bipyramidal | Seesaw | Disphenoidal |
| 3 | 2 | 5 | Trigonal bipyramidal | T-shaped | T-shaped |
| 2 | 3 | 5 | Trigonal bipyramidal | Linear | Linear (AX2E3) |
| 6 | 0 | 6 | Octahedral | Octahedral | Octahedral |
| 5 | 1 | 6 | Octahedral | Square pyramidal | Square pyramidal |
| 4 | 2 | 6 | Octahedral | Square planar | Square planar |
