# Web Browsers Catalog by Operating System Support (Desktop and Mobile)

| Browser | Vendor/Project | Windows | macOS | Linux | Android | iOS/iPadOS | License | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Google Chrome | Google | Yes | Yes | Yes | Yes | Yes | Proprietary | iOS uses WebKit engine due to platform rules |
| Mozilla Firefox | Mozilla | Yes | Yes | Yes | Yes | Yes | MPL 2.0 | ESR channel available on desktop |
| Microsoft Edge | Microsoft | Yes | Yes | Yes | Yes | Yes | Proprietary | Chromium-based on most platforms |
| Safari | Apple | No | Yes | No | No | Yes | Proprietary | Default browser on Apple devices |
| Opera | Opera Software | Yes | Yes | Yes | Yes | Yes | Proprietary | Includes built-in VPN feature in some builds |
| Brave | Brave Software | Yes | Yes | Yes | Yes | Yes | MPL 2.0 (plus proprietary components) | Chromium-based with tracker blocking |
| Vivaldi | Vivaldi Technologies | Yes | Yes | Yes | Yes | No | Proprietary | Highly customizable UI; no iOS release listed |
| Tor Browser | Tor Project | Yes | Yes | Yes | Yes | Yes | Open source | Built on Firefox; focuses on anonymity |
| Chromium | Chromium Project | Yes | Yes | Yes | Yes | No | BSD-style | Upstream open-source base for many browsers |
| Samsung Internet | Samsung | No | No | No | Yes | No | Proprietary | Android-focused; commonly on Samsung devices |
