# Apple iPhone 5S Online Retail Price Comparison (Flipkart vs Amazon India vs Snapdeal)

| Variant | Flipkart (INR) | Amazon India (INR) | Snapdeal (INR) | Availability Notes |
| --- | ---: | ---: | ---: | --- |
| **16 GB** |  |  |  |  |
| Gold, 16 GB | 25,999 | 27,499 | 26,490 | Prices may vary by seller; check delivery pin code |
| Space Grey, 16 GB | 24,990 | 26,999 | 25,750 | Often listed as refurbished on some sellers |
| Silver, 16 GB | 25,490 | 27,250 | 26,199 | New stock may be limited |
| **32 GB** |  |  |  |  |
| Silver, 32 GB | 28,499 | 30,999 | 29,499 | Variant may be less common than 16 GB |
| Space Grey, 32 GB | 28,990 | 31,490 | 29,990 | Look for “Fulfilled” / “Assured” tags |
| **64 GB** |  |  |  |  |
| Gold, 64 GB | 29,499 | 33,999 | 31,250 | Larger storage usually priced higher |
| Space Grey, 64 GB | 32,990 | 35,499 | 33,499 | Seller reputation can affect return policy |
