# 2008 NASCAR Craftsman Truck Series
> Races

| Pos | No. | Driver | Manu. | Team |
| --- | --- | --- | --- | --- |
| 1 | 71 | Donny Lia (R) | Chevrolet | TRG Motorsports |
| 2 | 11 | David Starr | Toyota | Red Horse Racing |
| 3 | 30 | Todd Bodine | Toyota | Germain Racing |
| 4 | 60 | Terry Cook | Toyota | Wyler Racing |
| 5 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
| 6 | 13 | Shelby Howard (R) | Chevrolet | ThorSport Racing |
| 7 | 2 | Jack Sprague | Chevrolet | Kevin Harvick Incorporated |
| 8 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 9 | 07 | Sean Murphy | Chevrolet | SS-Green Light Racing |
| 10 | 4 | Stacy Compton | Dodge | Bobby Hamilton Racing-Virginia |
