# Common Spine MRI Exam Scenarios and Matching CPT Codes (Contrast and Multi-Region Orders)

| Ordered Spine MRI Exam (Scenario) | CPT Code(s) | Contrast Use | What the Order Usually Means |
| --- | --- | --- | --- |
| MRI cervical spine without contrast | 72141 | No contrast | Single-region cervical study |
| MRI cervical spine with contrast | 72142 | With contrast | Post-contrast only cervical study |
| MRI cervical spine with and without contrast | 72156 | Both | Pre- and post-contrast cervical protocol |
| MRI thoracic spine without contrast | 72146 | No contrast | Single-region thoracic study |
| MRI thoracic spine with and without contrast | 72157 | Both | Pre- and post-contrast thoracic protocol |
| MRI lumbar spine without contrast | 72148 | No contrast | Single-region lumbar study |
| MRI lumbar spine with and without contrast | 72158 | Both | Pre- and post-contrast lumbar protocol |
| MRI sacrum/coccyx without contrast | 72195 | No contrast | Sacrum/coccyx (often ordered separately from lumbar) |
| MRI sacrum/coccyx with and without contrast | 72197 | Both | Pre- and post-contrast sacrum/coccyx protocol |
| MRI of cervical + thoracic + lumbar spine without contrast ("whole spine") | 72141 + 72146 + 72148 | No contrast | Typically billed as 3 region-specific MRIs when all three are performed |
| MRI thoracic + lumbar spine with and without contrast | 72157 + 72158 | Both | Two-region order billed as both region CPTs |
| MRI cervical spine without contrast + MRI lumbar spine without contrast | 72141 + 72148 | No contrast | Non-contiguous multi-region order billed as separate studies |
