# List of local government areas in Scotland 1930–75
> County of Orkney

| District | Notes | 1975 district |
| --- | --- | --- |
| Eday |  | Orkney Islands Area |
| Hoy and Walls |  | Orkney Islands Area |
| Mainland |  | Orkney Islands Area |
| North Ronaldsay |  | Orkney Islands Area |
| Rousay |  | Orkney Islands Area |
| Sanday |  | Orkney Islands Area |
| Shapinsay |  | Orkney Islands Area |
| South Ronaldsay |  | Orkney Islands Area |
| Stronsay |  | Orkney Islands Area |
| Westray and Papa Westray |  | Orkney Islands Area |
