# LSE PLC (LSE.L) — Minute-by-minute On-Exchange Prints (Time, Price, Volume)

| Time/Date | Price (GBX) | Volume |
| --- | ---: | ---: |
| 2026-01-19 10:00:02 | 9,488.0 | 210 |
| 2026-01-19 10:01:16 | 9,490.5 | 85 |
| 2026-01-19 10:03:09 | 9,486.0 | 1,600 |
| 2026-01-19 10:05:41 | 9,492.0 | 300 |
| 2026-01-19 10:07:58 | 9,495.5 | 740 |
| 2026-01-19 10:10:12 | 9,491.0 | 120 |
| 2026-01-19 10:12:37 | 9,497.0 | 2,450 |
| 2026-01-19 10:14:55 | 9,499.5 | 510 |
| 2026-01-19 10:17:26 | 9,496.0 | 60 |
| 2026-01-19 10:19:49 | 9,500.0 | 980 |
