# MLB Career One-Hitters by Pitcher (Modern Era Summary)

| Rank | Pitcher | Career One-Hitters | Wins in One-Hitters | Losses in One-Hitters | Notes |
|---:|---|---:|---:|---:|---|
| 1 | Nolan Ryan | 13 | 12 | 1 | Includes multiple one-hitters with California/Texas |
| 2 | Bob Gibson | 9 | 8 | 1 | Several came in the 1960s |
| 3 | Warren Spahn | 7 | 7 | 0 | Left-handed ace; all were complete games |
| 4 | Tom Seaver | 5 | 5 | 0 | Mixed home/road one-hitters |
| 5 | Justin Verlander | 5 | 5 | 0 | Includes both Detroit and Houston |
| 6 | Max Scherzer | 3 | 3 | 0 | Two were near-no-hitters (late hits allowed) |
| 7 | Clayton Kershaw | 3 | 3 | 0 | Includes a 15-K one-hitter |
| 8 | Pedro Martinez | 2 | 2 | 0 | High strikeout totals in these games |
| 9 | Roy Halladay | 2 | 2 | 0 | Efficient pitch counts noted |
| 10 | CC Sabathia | 1 | 1 | 0 | Single career one-hitter |
| 11 | Felix Hernandez | 1 | 1 | 0 | One-hitter in addition to perfect game/no-hitter |
| 12 | David Cone | 1 | 1 | 0 | Also threw a perfect game (separate) |
