# King James Bible  Book Names and Traditional Abbreviations

| Testament | Book | Common Abbrev. | Traditional Author | Chapters |
|---|---|---|---|---|
| Old | Genesis | Gen. | Moses | 50 |
| Old | Exodus | Ex. | Moses | 40 |
| Old | Leviticus | Lev. | Moses | 27 |
| Old | Numbers | Num. | Moses | 36 |
| Old | Deuteronomy | Deut. | Moses | 34 |
| Old | Joshua | Josh. | Joshua | 24 |
| Old | Judges | Judg. | Samuel (trad.) | 21 |
| Old | Ruth | Ruth | Samuel (trad.) | 4 |
| Old | 1 Samuel | 1 Sam. | Samuel (trad.) | 31 |
| Old | 2 Samuel | 2 Sam. | Samuel (trad.) | 24 |
