# State Income Tax Extensions  Automatic vs. Request Required (No Deadlines Listed)

| State | Extension Type | Requires Form? | Uses Federal Extension? | Notes |
|---|---|---|---|---|
| Alabama | Automatic | No | Yes | Mirrors federal extension treatment |
| California | Automatic | No | No | Payment may still be due by original due date |
| Colorado | Automatic | No | Yes | No separate state extension form needed |
| Connecticut | By request | Yes | No | Must submit state extension if more time needed |
| Georgia | Automatic | No | Yes | Generally accepts federal extension |
| Idaho | Automatic | No | No | Extension granted without filing |
| Illinois | Automatic | No | No | No filing required to extend |
| Indiana | Automatic with federal | No | Yes | Federal extension extends state filing |
| Iowa | Automatic | No | No | Extension granted automatically |
| New Jersey | By request | Yes | No | Separate state extension form typically used |
| Pennsylvania | By request | Yes | Yes | Federal extension may be accepted with conditions |
| Virginia | By request | Yes | Yes | May require additional state steps |
| Ohio | By request | Yes | No | Must file state extension request |
| Missouri | By request | Yes | Yes | Often tied to federal extension proof |
| Wisconsin | Automatic | No | Yes | Federal extension generally sufficient |
