# List of The Many Loves of Dobie Gillis episodes
> Series overview

| No. in series | No. in season | Title | Directed by | Written by | Original air date |
| --- | --- | --- | --- | --- | --- |
| 112 | 1 | "A Funny Thing Happened to Me on the Way to a Funny Thing" | Rod Amateau | Bud Nye | September 26, 1962 ( 1962-09-26 ) |
| 113 | 2 | "What's a Little Murder Between Friends?" | Rod Amateau | Max Shulman | October 3, 1962 ( 1962-10-03 ) |
| 114 | 3 | "Northern Comfort" | Rod Amateau | Dean Riesner | October 10, 1962 ( 1962-10-10 ) |
| 115 | 4 | "The Ugliest American" | Rod Amateau | Joel Kane | October 17, 1962 ( 1962-10-17 ) |
| 116 | 5 | "A Splinter Off the Old Block" | Rod Amateau | Max Shulman | October 24, 1962 ( 1962-10-24 ) |
| 117 | 6 | "What Makes the Varsity Drag?" | Guy Scarpitta | Bud Nye | October 31, 1962 ( 1962-10-31 ) |
| 118 | 7 | "Like, Hi, Explosives" | Rod Amateau | Bud Nye & Joel Kane | November 7, 1962 ( 1962-11-07 ) |
| 119 | 8 | "Where Is Thy Sting?" | Rod Amateau | Joel Kane | November 14, 1962 ( 1962-11-14 ) |
| 120 | 9 | "Flow Gently, Sweet Money" | Rod Amateau | Arnold Horwitt | November 21, 1962 ( 1962-11-21 ) |
| 121 | 10 | "Strictly for the Birds" | Guy Scarpitta | Arnold Horwitt | November 28, 1962 ( 1962-11-28 ) |
| 122 | 11 | "The Iceman Goeth" | Rod Amateau | Max Shulman | December 5, 1962 ( 1962-12-05 ) |
| 123 | 12 | "Dr. Jerkell & Mr. Gillis" | Rod Amateau | Dean Riesner | December 12, 1962 ( 1962-12-12 ) |
| 124 | 13 | "Will the Real Santa Claus Please Come Down the Chimmey?" | Rod Amateau | Arnold Horwitt | December 19, 1962 ( 1962-12-19 ) |
| 125 | 14 | "Who Did William Tell?" | Rod Amateau | Arnold Horwitt | January 2, 1963 ( 1963-01-02 ) |
| 126 | 15 | "Too Many Kooks Spoil the Broth" | Guy Scarpitta | Bud Nye | January 9, 1963 ( 1963-01-09 ) |
| 127 | 16 | "Vocal Boy Makes Good" | Rod Amateau | Dean Riesner | January 16, 1963 ( 1963-01-16 ) |
| 128 | 17 | "All Right, Dobie, Drop the Gun" | Rod Amateau | Arnold Horwitt | January 23, 1963 ( 1963-01-23 ) |
| 129 | 18 | "And Now a Word from Our Sponsor" | Rod Amateau | Arnold Horwitt | January 30, 1963 ( 1963-01-30 ) |
| 130 | 19 | "Two for the Whipsaw" | David Davis | Bud Nye | February 6, 1963 ( 1963-02-06 ) |
| 131 | 20 | "The Moon and No Pence" | Rod Amateau | Bud Nye | February 13, 1963 ( 1963-02-13 ) |
| 132 | 21 | "The Beast with Twenty Fingers" | Rod Amateau | Arnold Horwitt | February 20, 1963 ( 1963-02-20 ) |
| 133 | 22 | "Thanks for the Memory" | Rod Amateau | Max Shulman | February 27, 1963 ( 1963-02-27 ) |
| 134 | 23 | "Three Million Coins in the Fountain" | Rod Amateau | Joel Kane | March 6, 1963 ( 1963-03-06 ) |
| 135 | 24 | "Beethoven, Presley, and Me" | Guy Scarpitta | Dean Riesner | March 13, 1963 ( 1963-03-13 ) |
| 136 | 25 | "The Little Chimp That Couldn't" | Stanley Z. Cherry | Arnold Horwitt | March 20, 1963 ( 1963-03-20 ) |
| 137 | 26 | "There's Always Room for One Less" | Tom Montgomery | Bud Nye | March 27, 1963 ( 1963-03-27 ) |
| 138 | 27 | "The General Cried at Dawn" | David Davis | Bud Nye | April 3, 1963 ( 1963-04-03 ) |
| 139 | 28 | "Now I Lay Me Down to Steal" | Guy Scarpitta | Arnold Horwitt | April 10, 1963 ( 1963-04-10 ) |
| 140 | 29 | "Lassie, Get Lost" | Rod Amateau | Dean Riesner | April 17, 1963 ( 1963-04-17 ) |
| 141 | 30 | "The Rice and Old Shoes Caper" | Rod Amateau | Arnold Horwitt | April 24, 1963 ( 1963-04-24 ) |
| 142 | 31 | "Requiem for an Underweight Heavyweight" | Rod Amateau | Arnold Horwitt | May 1, 1963 ( 1963-05-01 ) |
| 143 | 32 | "I Was a Spy for the F.O.B." | Tom Montgomery | Bud Nye | May 8, 1963 ( 1963-05-08 ) |
| 144 | 33 | "There's a Broken Light for Every Broken Heart on Broadway" | David Davis | Joel Kane | May 15, 1963 ( 1963-05-15 ) |
| 145 | 34 | "Beauty Is Only Kin Deep" | Rod Amateau | Bud Nye | May 22, 1963 ( 1963-05-22 ) |
| 146 | 35 | "The Call of the, Like, Wild" | Guy Scarpitta | Dean Riesner | May 29, 1963 ( 1963-05-29 ) |
| 147 | 36 | "The Devil and Dobie Gillis" | Guy Scarpitta | Teleplay : Bud Nye Story : Max Shulman | June 5, 1963 ( 1963-06-05 ) |
