# Autonomic Receptor Subtypes, Second Messengers, and Physiologic Outcomes

| Transmitter | Receptor subtype | G protein / channel | Second messenger | Common tissue example | Typical physiologic outcome |
|---|---|---|---|---|---|
| Acetylcholine | Nicotinic (Nn) | Ligand-gated cation channel | Na+/K+ flux | Autonomic ganglia | Fast EPSP in postganglionic neuron |
| Acetylcholine | Muscarinic M2 | Gi | ↓cAMP, ↑K+ | SA node | Decreased heart rate |
| Acetylcholine | Muscarinic M3 | Gq | ↑IP3/DAG, ↑Ca2+ | Bronchial smooth muscle | Bronchoconstriction |
| Norepinephrine | α1 | Gq | ↑IP3/DAG | Vascular smooth muscle | Vasoconstriction |
| Norepinephrine | α2 | Gi | ↓cAMP | Presynaptic terminals | Reduced transmitter release |
| Epinephrine | β1 | Gs | ↑cAMP | Heart | Increased inotropy/chronotropy |
| Epinephrine | β2 | Gs | ↑cAMP | Bronchioles | Bronchodilation |
| Dopamine | D1 | Gs | ↑cAMP | Renal vasculature | Vasodilation |
| Nitric oxide | Soluble guanylyl cyclase | Enzyme | ↑cGMP | Corpus cavernosum | Smooth muscle relaxation |
