# How Long Common Cooked Meal-Prep Dishes Keep When Stored Cold

| Prepared dish (cooked) | Refrigerator (days) | Freezer (months) | Typical storage form |
| --- | --- | --- | --- |
| Cooked chili (with beans/meat) | 3–4 | 2–3 | Airtight container, portioned |
| Cooked curry (chicken/veg) | 3–4 | 2–3 | Cool completely before sealing |
| Cooked stir-fry (meat + vegetables) | 3–4 | 1–2 | Best frozen without crisp vegetables |
| Cooked meatballs (baked/simmered) | 3–4 | 2–3 | Freeze on tray, then bag |
| Cooked pulled pork / shredded meat | 3–4 | 2–3 | Freeze with a little sauce/juices |
| Cooked burrito filling (rice/beans/meat) | 3–4 | 2–3 | Freeze as filling or fully wrapped burritos |
| Cooked lasagna or baked pasta (cooked) | 3–4 | 2–3 | Wrap tightly; slice for portions |
| Cooked mashed potatoes | 3–5 | 1–2 | Freezes best with added fat/dairy |
| Cooked pancakes or waffles | 3–5 | 1–2 | Stack with parchment, then bag |
| Cooked breakfast egg muffins (baked) | 3–4 | 1–2 | Store chilled; reheat thoroughly |
