# Stock Exchanges Grouped by Country (Multiple Exchanges per Nation)

| Country | Exchange | City/Headquarters | Market Type | Parent/Operator |
| --- | --- | --- | --- | --- |
| India | Bombay Stock Exchange | Mumbai | Stock exchange | BSE Ltd. |
| India | National Stock Exchange of India | Mumbai | Stock exchange | NSE India Ltd. |
| India | Calcutta Stock Exchange | Kolkata | Stock exchange | CSE (India) |
| India | Metropolitan Stock Exchange of India | Mumbai | Stock exchange | MSEI |
| United States | New York Stock Exchange | New York | Stock exchange | NYSE Group / ICE |
| United States | Nasdaq Stock Market | New York | Stock exchange | Nasdaq, Inc. |
| Japan | Tokyo Stock Exchange | Tokyo | Stock exchange | Japan Exchange Group |
| Japan | Osaka Exchange | Osaka | Derivatives-focused exchange | Japan Exchange Group |
| South Africa | Johannesburg Stock Exchange | Johannesburg | Stock exchange | JSE Ltd. |
| United Arab Emirates | Nasdaq Dubai | Dubai | Stock exchange | Dubai Financial Market group |
| United Arab Emirates | Abu Dhabi Securities Exchange | Abu Dhabi | Stock exchange | ADX |
| China | Shenzhen Stock Exchange | Shenzhen | Stock exchange | SZSE |
| China | Shanghai Stock Exchange | Shanghai | Stock exchange | SSE |
