# Selected Sovereign Credit Ratings by Major Agencies (S&P, Moody's, Fitch) — Cross-Country Snapshot

| Region | Country | S&P (LT FC) | S&P Outlook | Moody's (LT FC) | Moody's Outlook | Fitch (LT FC) | Fitch Outlook |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Europe | Germany | AAA | Stable | Aaa | Stable | AAA | Stable |
| Europe | France | AA- | Negative | Aa2 | Stable | AA- | Negative |
| Europe | Italy | BBB | Stable | Baa3 | Stable | BBB | Stable |
| Europe | Greece | BBB- | Stable | Ba1 | Positive | BBB- | Stable |
| Americas | United States | AA+ | Stable | Aaa | Stable | AA+ | Stable |
| Americas | Canada | AAA | Stable | Aaa | Stable | AA+ | Stable |
| Asia-Pacific | Japan | A+ | Stable | A1 | Stable | A | Stable |
| Asia-Pacific | China | A+ | Negative | A1 | Stable | A+ | Stable |
| Asia-Pacific | India | BBB- | Stable | Baa3 | Stable | BBB- | Stable |
| Middle East | Saudi Arabia | A | Stable | A1 | Stable | A+ | Stable |
| Africa | South Africa | BB- | Stable | Ba2 | Stable | BB- | Stable |
| Africa | Nigeria | B- | Stable | Caa1 | Stable | B- | Negative |
