# Herbs for Pest Control and Deer Resistance Ratings

| Plant | Pests Deterred | Deer Resistance | Rabbit Resistance | Comments |
| --- | --- | --- | --- | --- |
| Lavender | Moths, fleas | High | Medium | Aromatic foliage |
| Rosemary | Cabbage moth, bean beetles | High | High | Evergreen in mild winters |
| Thyme (lemon thyme) | Mosquitoes | High | Medium | Low-growing groundcover |
| Sage | Carrot fly, cabbage moth | Medium | Medium | Prefers dry soil |
| Mint | Ants, mosquitoes | High | Low | Spreads aggressively |
| Oregano | Aphids, mosquitoes | Medium | Medium | Good in containers |
| Catnip | Mosquitoes | High | Low | Attracts cats |
| Chives | Aphids, carrot fly | Medium | Medium | Edible allium |
| Marigold | Aphids, whiteflies | Low | Medium | Often used in beds |
