# Leaf Spring Types and Typical Applications (No Mechanical Properties)

| Leaf Spring Type | Geometry Description | Common Vehicle/Application | Packaging Notes | Typical Pros | Typical Cons |
|---|---|---|---|---|---|
| Semi-elliptic | Single main leaf with helper leaves | Light trucks | Standard longitudinal mount | Simple, proven | Can be heavy |
| Multi-leaf pack | Several graduated leaves | Trucks, trailers | Stack with center bolt | Load capacity | Interleaf friction |
| Parabolic leaf | Few leaves with variable thickness | Vans, off-road | Reduced leaf count | Lighter, better ride | Higher cost |
| Quarter-elliptic | One end fixed to frame | Custom builds | Compact | Very compact | Limited load travel |
| Three-quarter elliptic | Hybrid of quarter + semi | Classic cars | Complex mount | Good travel | Hard to package |
| Transverse leaf | Leaf runs across vehicle | Sports cars (classic) | Cross-car mounting | Space-saving | Lateral compliance |
| Cantilever leaf | Leaf acts as cantilever arm | Specialty suspensions | Needs strong mounts | Progressive feel | Mount stress |
| Slipper-ended leaf | One end slides in a bracket | Utility trailers | Allows length change | Simple | Wear at slipper |
| Double-ended leaf | Both ends fixed/pinned | Industrial suspension | More constrained | Predictable location | Less compliant |
| Composite leaf | Fiber-reinforced polymer leaf | Modern vehicles | Corrosion resistant | Light, quiet | Damage sensitivity |
