# Early-State GOP Primary Tracker (Schedule, Filing Deadlines, Delegates) — No Horse-Race Numbers

| State Contest | Contest Type | Date | Delegates | Ballot Access Deadline | Notes |
| --- | --- | --- | --- | --- | --- |
| Iowa | Caucus | Jan 15 | 40 | Dec 1 | First-in-nation caucus |
| New Hampshire | Primary | Jan 23 | 22 | Nov 15 | Semi-open primary |
| Nevada | Caucus | Feb 8 | 26 | Dec 15 | Party-run caucus |
| South Carolina | Primary | Feb 24 | 50 | Nov 10 | Early southern test |
| Michigan | Primary | Feb 27 | 55 | Dec 8 | Large delegate prize |
| Super Tuesday (AL, AK, AR, CA, CO, ME, MA, MN, NC, OK, TN, TX, UT, VT, VA) | Primaries | Mar 5 | 800+ | Varies | Many states vote same day |
| Florida | Primary | Mar 19 | 125 | Dec 1 | Winner-take-all-ish rules vary |
| Ohio | Primary | Mar 19 | 79 | Dec 20 | Midwest battleground |
| Wisconsin | Primary | Apr 2 | 41 | Jan 2 | Late Midwest contest |
| Pennsylvania | Primary | Apr 23 | 67 | Feb 13 | Closed primary |
