# Selected Canadian Shipwrecks with Exact Incident Dates (Great Lakes and Atlantic Canada)

| Ship | Incident date (YYYY-MM-DD) | Location (Canada) | Province/Territory | Water body | Cause / Type of loss | Notes |
|---|---:|---|---|---|---|---|
| RMS Titanic | 1912-04-15 | Off Newfoundland (then Dominion of Newfoundland; now Canada) | Newfoundland and Labrador | North Atlantic Ocean | Sank after iceberg collision | Wreck site is in international waters; commonly associated with Newfoundland in voyage context |
| RMS Empress of Ireland | 1914-05-29 | St. Lawrence River near Rimouski | Quebec | St. Lawrence River | Collision and sinking | Collision with SS Storstad; major Canadian maritime disaster |
| SS Princess Sophia | 1918-10-25 | Vanderbilt Reef, near Skagway (wreck impacted Canadian route) | British Columbia (route) | Inside Passage / Lynn Canal area | Grounding and foundering | Coastal service between Vancouver and Alaska; loss occurred during storm after grounding |
| SS Atlantic | 1873-04-01 | Near Lower Prospect | Nova Scotia | North Atlantic Ocean | Ran aground and wrecked | White Star Line passenger liner wrecked in fog |
| SS Clan Ranald | 1909-08-10 | Cheticamp, Cape Breton Island | Nova Scotia | Gulf of St. Lawrence | Explosion and sinking | Coal/cargo steamer; multiple fatalities |
| MV Florizel | 1918-02-23 | Near Cappahayden | Newfoundland and Labrador | North Atlantic Ocean | Ran aground and wrecked | Passenger steamer wrecked in snowstorm/fog |
| SS Edmund Fitzgerald | 1975-11-10 | Near Whitefish Point (Canadian waters nearby; Great Lakes context) | Ontario (regional context) | Lake Superior | Sank in storm | Often placed on Great Lakes timelines; loss occurred on the US side but within shared-lake context |
| HMCS Esquimalt | 1945-04-16 | Off Halifax | Nova Scotia | North Atlantic Ocean | Torpedoed and sunk | Canadian naval ship sunk near end of WWII |
| SS Mount Temple | 1916-12-06 | Off the coast of Nova Scotia | Nova Scotia | North Atlantic Ocean | Shelled and sunk | Sunk by German raider/submarine action |
| CSS Alabama (post-battle wreck) | 1864-06-19 | Off Cherbourg (non-Canadian) | N/A | English Channel | Sunk in battle | Included here as negative control example (should be excluded for Canada-only timelines) |
