# American Chess Congress
> 4 th American Chess Congress ( 1876 )

|  | Player | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | Total |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | James Mason ( IRL ) | xx | 1½ | 10 | 1½ | ½1 | 1½ | 11 | ½1 | -- | 10½ |
| 2 | Max Judd ( USA ) | 0½ | xx | 00 | 10 | 1½ | 11 | 11 | 11 | -- | 9 |
| 3 | Harry Davidson ( USA ) | 01 | 11 | xx | ½0 | 0½ | ½1 | 01 | 11 | -- | 8½ |
| 4 | Henry Edward Bird ( ENG ) | 0½ | 01 | ½1 | xx | 0½ | 11 | ½1 | ½1 | -- | 8½ |
| 5 | Jacob Elson ( USA ) | ½0 | 0½ | 1½ | 1½ | xx | ½½ | 10 | 11 | -- | 8 |
| 6 | Albert Roberts ( USA ) | 0½ | 00 | ½0 | 00 | ½½ | xx | 1½ | 11 | -- | 5½ |
| 7 | Preston Ware ( USA ) | 00 | 00 | 10 | ½0 | 01 | 0½ | xx | ½½ | -- | 4 |
| 8 | L.D. Barbour ( USA ) | ½0 | 00 | 00 | ½0 | 00 | 00 | ½½ | xx | -- | 2 |
| 9 | Dion Martinez ( CUB ) | 00 | -- | ½½ | -- | -- | -- | -- | -- | xx | 1 |
