# Xbox 360 System Link (LAN) Games — Racing, Sports & Party (Local Network Multiplayer Details)

| Title | Category | System Link (LAN) | Total players (LAN) | Per console | Typical LAN mode |
|---|---|---:|---:|---:|---|
| Forza Motorsport 2 | Racing | Yes | 16 | 1 | Race lobbies over LAN |
| Forza Motorsport 3 | Racing | Yes | 16 | 1 | Circuit races; LAN events |
| Forza Motorsport 4 | Racing | Yes | 16 | 1 | LAN race sessions |
| Project Gotham Racing 4 | Racing | Yes | 12 | 1 | LAN multiplayer races |
| Split/Second | Racing | Yes | 8 | 2 | LAN racing; split-screen per console |
| Blur | Racing | Yes | 20 | 4 | LAN racing with split-screen |
| Sonic & Sega All-Stars Racing | Racing | Yes | 8 | 4 | Party-style LAN races |
| FIFA 09 | Sports | Yes | 8 | 4 | Head-to-head matches over LAN |
| Pro Evolution Soccer 2011 | Sports | Yes | 8 | 4 | LAN versus matches |
| NBA 2K11 | Sports | Yes | 10 | 2 | Team games over LAN |
| NHL 11 | Sports | Yes | 12 | 2 | LAN matches |
| NCAA Football 12 | Sports | Yes | 12 | 2 | LAN multiplayer games |
